,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,72,B01MFGP4ET,4.4,193,8,1,1,12.56,10,1
1,70,B014QVV9UI,5.0,10,0,0,0,4.97,23,1
2,62,B06XX7QQK7,4.7,31,4,1,0,11.9,40,1
3,69,B004S0ETHI,4.5,213,8,1,0,18.0,0,18
4,76,B00B7QZGI2,4.8,154,10,0,0,9.99,0,1
5,67,B018UJYU2Q,4.0,306,25,3,2,23.66,5,1
6,77,B000F54AN8,3.7,3633,207,128,0,21.38,0,14
7,74,B0193G18AW,4.4,193,8,1,1,2.98,40,16
8,80,B01J5GC24Q,5.0,3,0,0,0,7.49,0,3
9,63,B00VR9YE8C,4.2,471,11,3,0,10.99,0,1
10,61,B00FA53Q8S,3.8,517,23,5,0,8.88,31,1
11,71,B01LYFI1ST,4.8,493,14,10,0,24.99,38,1
12,64,B06Y3KKCSL,5.0,211,0,0,0,14.95,25,1
13,66,B0011DJICG,4.2,415,8,0,0,17.03,5,37
14,78,B06WWJJHM9,4.4,28,0,0,0,7.99,29,1
15,75,B002LA1D9Y,4.5,377,16,1,0,14.9,12,1
16,79,B01HHNQUEW,4.3,217,7,3,3,16.95,50,1
17,68,B00VVMBRIK,4.8,754,27,7,1,19.97,56,1
18,65,B01LQ77K76,4.4,149,14,1,0,11.99,0,1
19,73,B015O21XPE,3.9,486,9,15,1,6.76,0,1
20,43,B005IYYF5E,4.2,313,5,1,1,3.99,0,7
21,46,B00VTHCARY,4.6,132,4,1,0,5.59,5,8
22,44,B00BBD508C,4.8,1202,81,56,0,27.55,5,1
23,52,B01LK643T6,4.5,479,41,0,0,12.95,41,4
24,54,B01N6JG35L,4.7,22,0,0,0,2.85,5,1
25,59,B06XX7QQK7,4.7,31,4,1,0,11.9,40,1
26,45,B0016ISD04,4.3,737,21,27,5,5.45,0,12
27,49,B00BOUQTJG,4.3,89,9,9,0,5.68,5,11
28,42,B007THNPBS,4.4,163,0,0,0,4.87,19,32
29,41,B00LIBEDC6,4.5,377,12,2,3,11.95,46,1
30,56,B01BMT8XDI,4.3,152,8,1,0,11.98,0,1
31,50,B01EXBUFII,4.3,714,45,13,0,19.99,0,1
32,48,B00HMSU4ZE,4.5,336,8,1,0,16.33,0,13
33,51,B01DDW9RO6,4.7,6,20,0,1,11.39,0,4
34,60,B00ADJEUAY,4.5,172,11,5,0,9.99,0,63
35,58,B00FA53Q8S,3.8,517,23,5,0,8.88,31,1
36,47,B01A09JXNK,4.2,1085,35,6,0,10.99,27,1
37,53,B005AYJ6EW,3.8,594,12,20,0,5.99,0,1
38,57,B00180DS7I,4.2,238,13,4,0,15.99,24,11
39,55,B07289VCXR,4.0,414,13,2,0,12.34,5,2
40,10,B004N79BYC,4.8,329,13,1,0,12.99,0,1
41,12,B00120VWJ0,4.7,7361,362,148,0,15.99,11,18
42,15,B00MOL4AIQ,4.8,3822,86,22,0,19.95,64,1
43,17,B000HK1OOY,4.7,7361,362,148,0,15.99,0,30
44,13,B00A6FAXOM,4.3,608,15,11,0,10.5,0,23
45,7,B00HNTPF7E,4.8,2080,71,12,0,19.99,0,1
46,3,B00PV15BPW,4.5,2623,85,40,0,13.95,53,1
47,8,B01LX9IIDJ,4.2,647,35,12,0,14.95,32,1
48,16,B01MFGN8S5,4.9,724,19,5,1,26.8,0,1
49,5,B00QPNVC0I,4.4,1520,39,7,0,8.78,5,15
50,20,B00EP5S7HE,4.4,984,93,5,0,14.51,51,26
51,6,B00B1M0XCG,4.3,1532,65,24,0,9.57,0,4
52,11,B01F88BMC8,4.3,292,6,6,0,8.49,65,1
53,2,B0046VGPHQ,4.4,5341,414,83,0,13.1,0,38
54,1,B01N3BW11X,4.3,555,28,8,0,14.95,60,1
55,18,B00KFR73NU,4.4,1052,25,7,0,6.95,0,4
56,19,B007IAE5WY,4.7,1005,36,9,0,11.4,0,18
57,4,B072C29XCN,4.4,364,0,0,0,14.99,0,1
58,14,B00GJ1UK3G,4.0,1124,47,9,0,9.99,0,1
59,9,B00LIBEBTG,4.6,786,24,4,0,9.98,47,1
60,99,B00XOQCHBW,4.4,23,0,0,0,7.42,0,5
61,94,B01MYA4Q1X,4.4,201,10,0,0,14.5,58,1
62,88,B01DMQ7VBO,4.7,120,0,0,0,16.65,0,20
63,100,B01B8P253K,4.3,67,3,0,0,7.99,20,1
64,91,B00AMO22SM,4.8,525,19,5,0,26.99,10,1
65,98,B072F6F82W,3.3,101,0,0,0,10.99,0,1
66,87,B0119FX4C0,4.6,3551,60,39,0,9.43,5,10
67,84,B016N4HLCQ,4.5,525,21,14,2,29.97,25,1
68,81,B004GINGOY,4.7,772,57,7,0,16.99,6,1
69,83,B01N8ZYDWC,4.4,193,8,1,1,13.99,0,2
70,89,B000JJAVPQ,4.5,173,14,1,0,6.99,0,8
71,92,B00H3MATM2,3.8,705,18,7,0,8.88,56,1
