,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,90,B00K0DI04A,4.4,1044,61,14,0,7.49,0,44
1,96,B01N7IZ4BZ,4.4,350,54,3,0,21.99,45,1
2,81,B0017JT658,4.0,586,15,5,3,10.48,0,27
3,93,B01CPUVTI4,4.3,126,15,0,0,2.95,58,1
4,91,B000P22TIY,4.4,4613,90,81,0,0.0,0,1
5,99,B00PRC2YM8,3.7,236,56,4,0,20.0,0,1
6,85,B004O22328,4.6,788,23,6,4,13.5,0,15
7,88,B01N1856R7,4.7,76,4,0,0,13.95,35,1
8,92,B00PM2T3N6,4.5,495,13,2,0,7.49,50,1
9,95,B00QR1VQB8,4.5,1537,51,3,0,7.79,48,1
10,97,B00X8FZODW,4.4,379,20,4,1,13.95,77,1
11,87,B00BKQIQDQ,4.4,557,14,0,1,6.96,0,2
12,83,B000C1Z3LS,4.5,780,15,4,2,0.0,0,1
13,84,B01MR7J7YR,4.6,2953,406,30,0,29.99,25,1
14,100,B00WFXNXVI,4.5,698,37,6,0,13.95,51,1
15,94,B000C1ZDTU,4.1,2171,28,6,0,20.29,70,10
16,82,B000C213ZM,4.5,1386,24,2,0,31.49,0,65
17,98,B007TYY2N6,4.7,362,9,2,0,11.0,0,10
18,86,B01N5XVM0Y,4.8,782,99,19,0,45.99,58,1
19,89,B004NJXW1I,4.3,706,33,6,0,33.9,0,17
20,4,B01161IL20,4.4,3576,129,30,0,16.95,15,5
21,5,B014SF6MBI,4.2,7444,552,36,0,13.95,53,1
22,14,B00PHVXIQA,4.3,2607,51,12,0,9.99,50,1
23,13,B0128HRZOG,4.5,1451,68,28,0,19.95,0,1
24,6,B005IHJ556,4.5,5774,162,105,0,12.65,0,1
25,16,B0118QC1BA,4.6,6298,414,79,0,25.99,57,1
26,10,B00QJCFWSI,4.5,1470,37,4,0,6.99,50,1
27,8,B01KK90ZH8,4.3,1023,72,5,0,27.95,53,1
28,11,B01CXPSS30,4.2,591,28,3,0,0.0,0,1
29,12,B06Y2CLF3T,4.8,59,4,2,0,7.99,60,1
30,19,B000E7UFM2,4.3,802,22,3,4,12.69,0,32
31,20,B0019LRZ2A,4.4,2983,110,26,0,9.7,0,14
32,18,B00QVNKSA2,4.6,2856,112,9,0,12.95,47,1
33,9,B01N4DB4A4,4.6,341,20,0,0,12.95,19,3
34,7,B00OEIBJRW,4.4,2835,37,31,0,9.99,50,1
35,17,B0009OAHC8,4.3,1926,47,4,0,19.94,0,19
36,15,B00NPC7EEU,4.7,4133,55,23,0,10.77,63,1
37,3,B00TSTZQEY,4.3,4851,129,101,0,14.95,57,1
38,2,B00V9JP8EE,4.3,9138,600,115,0,14.95,63,1
39,1,B0163GBZK8,4.4,9108,202,33,0,14.95,81,1
40,65,B00QXVMPOY,4.6,2125,46,4,0,7.99,43,1
41,67,B00SI585E2,4.5,252,15,3,1,12.99,50,1
42,74,B000WZR1R8,4.5,357,8,5,10,48.99,33,1
43,79,B01GXOXYSG,4.6,95,10,0,0,14.22,5,1
44,68,B00GF9ZBJA,4.3,370,16,3,0,15.59,0,29
45,61,B01FK2S73Y,4.2,625,79,13,0,19.95,60,1
46,75,B000JL7WQK,4.3,1447,37,8,0,23.05,0,79
47,66,B01F2AKYYO,4.3,703,14,0,0,12.99,63,1
48,80,B004O276EI,4.6,593,20,0,1,11.87,0,8
49,73,B01KFU4IL6,4.3,741,48,4,0,19.99,0,1
50,69,B00R36LSZ0,4.7,903,33,10,0,13.84,31,17
51,76,B01J15VL8O,4.0,837,66,9,0,14.24,5,1
52,70,B00BKQIMBC,4.0,695,22,17,0,7.37,0,5
53,62,B00028M3N2,4.5,1279,81,32,0,12.79,0,28
54,77,B01K9DGNJO,4.3,713,97,7,0,14.95,32,1
55,78,B0000ZUGS6,4.4,1332,28,23,3,14.5,0,1
56,63,B00PHMOXH2,4.3,509,15,8,0,6.99,65,1
57,72,B000C1Z5AW,4.4,503,10,0,1,35.38,55,60
58,64,B000MGOZJ4,4.6,176,6,1,0,4.36,0,28
59,71,B00PHVXISS,4.4,1130,43,4,0,8.99,55,1
60,48,B01JRD7Y9U,4.4,771,21,11,0,11.95,76,1
61,56,B00UNXFD6A,4.7,797,27,2,0,9.99,50,1
62,41,B002XQ1X4G,4.5,2053,84,15,0,49.99,0,36
63,45,B00P6O790E,4.6,778,14,2,0,5.99,70,1
64,51,B00B4TR3KG,4.4,1044,61,14,0,41.94,0,101
65,49,B00VS18XEK,4.4,838,68,12,0,15.5,0,11
66,47,B00VXHY6KY,4.4,1228,47,28,0,13.95,53,1
67,59,B0183K2AG0,4.7,2004,202,62,0,29.75,57,1
68,50,B001U582SQ,4.2,286,15,1,1,52.28,38,1
69,58,B01G0WMTYQ,4.5,387,19,6,0,12.98,0,1
70,52,B005O91CUE,4.3,536,11,0,1,17.35,0,1
71,55,B00PHQB8EE,4.4,290,14,1,0,7.49,50,1
72,42,B01KJAJMEA,4.6,41,6,4,1,0.0,0,1
73,53,B00QXVNRGY,4.5,1186,29,3,0,7.99,60,1
74,46,B01KFYCH9W,4.5,540,44,3,0,22.99,67,1
75,60,B011JBP5DK,4.4,1378,69,37,0,11.97,37,1
76,44,B06Y245185,4.5,18,0,0,0,7.99,60,1
77,54,B071L6L14D,4.6,17,0,0,0,0.0,0,1
78,57,B003I6TOM8,4.4,638,21,8,1,23.17,0,14
79,43,B00C9358NU,4.4,848,33,11,0,15.95,60,1
80,35,B01N20H4ZQ,4.7,810,26,2,1,25.99,68,1
81,25,B005MQ2BQI,4.7,1619,44,12,0,32.65,0,27
82,28,B00QXVNSE0,4.5,2961,52,12,0,8.99,55,1
83,32,B00PYS7R7M,4.5,1414,25,5,0,6.99,65,1
84,33,B014G8IYRM,4.3,2119,45,23,0,28.5,0,1
85,34,B00QR6SS6O,4.3,1665,45,17,0,13.95,53,1
86,27,B01HULIXKU,4.5,1198,132,14,0,0.0,0,1
87,38,B01MR4Y0CZ,4.7,454,82,70,0,29.99,63,1
88,37,B00P6O9KDS,4.7,747,15,16,1,6.99,42,1
