,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,1,B0014P8L9W,4.5,13076,1000,263,0,9.45,0,58
1,12,B00MWI2IS0,4.3,4796,222,31,0,10.15,0,71
2,5,B00SK71SAG,4.6,3553,60,39,0,8.05,5,9
3,9,B01K2UMMI0,4.3,4463,164,60,0,23.95,56,1
4,17,B006IB5T4W,4.7,1982,61,8,0,12.1,5,48
5,15,B001459IEE,4.6,1420,56,7,0,8.52,5,33
6,14,B01M4MCUAF,4.5,5681,475,106,0,19.99,50,1
7,6,B00HYV2F7E,4.2,790,23,16,0,13.91,5,1
8,10,B004UH74DA,4.6,4544,123,30,0,10.38,5,23
9,4,B0020VJTDG,4.4,906,14,3,3,6.21,5,48
10,3,B004CDQ73K,4.4,1928,131,25,0,9.72,5,63
11,19,B0012J30LY,4.3,2884,192,29,0,16.93,5,10
12,2,B00016XJ4M,4.6,8167,314,107,0,10.46,48,44
13,20,B002MSN3QQ,4.4,2635,190,35,0,32.5,0,1
14,18,B004D2DR0Q,4.4,1918,138,21,0,10.68,5,19
15,11,B00MLBPDQ2,4.6,980,27,9,0,18.73,5,28
16,16,B00PCURCYA,4.4,856,14,35,1,6.62,5,14
17,13,B004AI97MA,4.3,4558,347,81,0,12.34,5,1
18,7,B001V9SXXU,4.6,4261,241,82,0,11.01,5,49
19,8,B0002QB9NE,4.5,5983,93,58,0,8.47,0,1
20,31,B002LC9OES,4.5,2204,85,8,0,7.0,0,1
21,38,B000NWGCZ2,4.6,2514,80,32,0,12.72,5,48
22,40,B00LV6VDG2,4.5,2107,68,14,0,16.99,59,2
23,23,B000S5S1DK,4.3,3752,64,52,0,3.29,0,1
24,24,B00461F4PA,3.9,6942,394,97,0,0.0,0,1
25,25,B00A7NUARS,4.3,1599,41,58,0,14.24,5,12
26,22,B003YMJJSK,4.5,3484,160,90,0,8.16,5,50
27,39,B00X6ZNWG0,3.5,923,38,11,0,33.2,5,1
28,36,B00H7KTEZ8,4.7,2644,58,24,0,13.16,5,1
29,26,B007SAC6XE,4.3,482,41,15,0,9.72,5,47
30,21,B00IOZWC2M,4.3,5781,216,20,0,14.2,5,5
31,28,B0046VGPHQ,4.4,5345,414,83,0,13.1,0,37
