,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
0,21,B018MU5FN6,4.7,3924,56,24,0,21.99,55,1,1,0,0,0,0,0,0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
1,23,B00V6WZ7WW,4.3,646,20,10,0,4.97,17,16,1,0,0,0,0,0,0,0.0,2.0,22.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0
2,31,B00ZMXCN1O,4.7,1385,45,20,0,19.95,60,1,1,0,0,0,0,0,0,0.0,0.0,22.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0
3,28,B00YE3CPW0,4.6,1261,22,4,0,14.99,63,1,1,0,0,0,0,0,0,0.0,0.0,19.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0
4,24,B00ZRWMCXY,3.9,1644,51,25,0,13.99,53,1,1,0,0,0,0,0,0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
5,34,B008RDEI0A,4.6,337,10,1,0,30.95,0,6,1,0,0,0,0,0,0,0.0,0.0,2.0,25.0,2.0,2.0,0.0,3.0,1.0,1.0,34.0
6,36,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1,1,0,0,0,0,0,0,0.0,0.0,1.0,3.0,7.0,17.0,5.0,2.0,0.0,0.0,52.0
7,25,B004N7DQHA,4.9,2419,65,76,0,34.99,0,1,1,0,0,0,0,0,0,10.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
8,35,B0016ISD04,4.2,738,21,27,5,5.45,0,12,1,0,0,0,0,0,0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,40.0
9,38,B007THNPBS,4.4,163,0,0,0,4.87,19,32,1,0,0,0,0,0,0,0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,36.0
10,33,B01BUP4T6Y,4.7,761,33,0,0,13.25,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,11.0,23.0,2.0,0.0,0.0,0.0,0.0,38.0
11,37,B01AJQ6LRK,3.8,271,7,0,0,3.49,30,1,1,0,0,0,0,0,0,0.0,0.0,0.0,24.0,9.0,3.0,0.0,0.0,0.0,0.0,37.0
12,26,B071YTN8PQ,4.5,56,9,3,3,24.94,0,1,1,0,0,0,0,0,0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
13,29,B00B7QEBHE,4.7,273,9,1,0,8.99,0,1,1,0,0,0,0,0,0,0.0,9.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
14,40,B01EXBUFII,4.3,715,45,13,0,19.99,0,1,1,0,0,0,0,0,0,0.0,9.0,2.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,35.0
