,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,35,B00GMAWI66,4.6,3904,109,15,0,9.45,5,5
1,31,B0081E6X2Q,4.5,368,3,0,0,5.98,14,29
2,37,B00FBF1904,4.4,482,28,9,0,4.0,0,12
3,29,B00150LT40,4.4,4664,44,23,0,6.0,40,109
4,33,B06XDQ84NF,4.1,118,5,0,0,8.52,5,1
5,36,B00NBCD7MW,4.3,4387,87,17,0,19.97,60,1
6,26,B0182G7AQ0,4.5,174,4,0,0,8.97,0,1
7,24,B00HVI8WYU,4.0,1100,57,23,0,5.99,0,21
8,34,B00OWZ0TVE,4.1,1313,31,18,0,7.39,0,2
9,27,B072HSM889,3.5,2,0,0,0,7.66,45,4
10,28,B006UET4XE,4.0,2738,54,37,0,6.59,5,29
11,39,B06X18521Y,4.8,136,8,3,0,14.85,49,1
12,30,B004HYRH06,4.2,825,21,2,2,6.26,5,26
13,38,B0169YXWM8,3.7,208,6,6,0,4.21,5,11
14,23,B000US084U,4.5,916,32,14,0,14.79,29,28
15,32,B00UYY2GXG,3.7,8648,522,58,0,20.68,5,3
16,22,B00VKIJPNE,3.8,1696,81,3,0,2.38,41,24
17,21,B004Y9GTYE,4.3,3228,230,68,0,7.18,5,18
18,25,B00U4CM8ZE,4.4,1618,74,7,0,20.0,0,2
19,40,B00U2VQZDS,4.6,980,27,9,0,8.52,5,6
20,14,B019EXWVQY,4.3,3329,147,265,0,34.99,0,1
21,11,B0000YUXI0,4.3,5647,113,30,0,14.95,0,7
22,9,B00PGQYEUK,4.4,1330,62,21,0,5.99,25,27
23,4,B0186U9736,4.7,2490,167,12,0,14.2,5,1
24,1,B00MLBPDQ2,4.6,980,27,9,0,18.73,5,28
25,2,B00UYY2GUO,3.7,8648,522,58,0,17.93,5,3
26,12,B00027D0DU,4.2,343,3,0,0,4.49,25,8
27,13,B01MQS7GFT,4.4,675,35,1683,0,29.99,0,5
28,5,B00UYY2GSQ,3.7,8648,522,58,0,16.72,5,3
29,7,B01GYBSLFO,4.4,410,61,8,0,10.97,5,1
30,19,B011QHFB4A,4.8,1035,38,13,0,11.99,5,1
31,10,B01AAQD2NU,4.4,2321,87,28,0,29.99,57,17
32,3,B00IOZWC2M,4.3,5781,216,20,0,14.2,5,5
33,16,B0058E3XJI,4.1,3532,131,9,0,14.25,0,20
34,15,B00PF9Q5EG,4.3,748,49,5,0,10.99,0,1
35,8,B004BCXAM8,4.1,2393,35,7,0,5.69,5,11
36,20,B0031NNE56,4.2,3911,78,11,0,22.0,0,1
37,17,B00VKHKH8C,4.2,3917,245,73,0,12.95,68,1
38,6,B00H7KTEZ8,4.7,2644,58,24,0,13.16,5,1
39,18,B06XF2TR11,4.1,118,5,0,0,8.99,0,1
40,78,B00DL77W0A,4.0,508,4,1,0,6.41,28,20
41,68,B00SZMYJAW,3.9,264,98,6,0,19.99,0,21
42,74,B000BNG4VU,4.3,818,80,6,0,0.0,0,1
43,71,B00819JNLE,4.4,907,46,6,0,4.94,18,32
44,76,B004BCXEF6,3.9,605,8,0,0,5.55,5,16
45,62,B012W6AINS,3.9,308,24,0,0,49.75,0,15
46,66,B00BUPN6UA,4.1,386,46,8,0,12.95,0,1
47,77,B002B4JORS,4.1,524,13,1,0,2.99,0,26
48,73,B01L2N2ZTC,4.7,96,10,0,0,11.95,48,1
49,64,B0043WJ3OA,4.1,615,91,51,0,6.64,5,22
50,72,B014PVXY5W,4.1,1306,113,21,0,24.99,29,1
51,69,B00XIQVA7U,4.7,154,18,0,1,0.0,0,1
52,70,B01CNZMMV4,4.5,1760,32,5,0,15.95,60,1
53,79,B004Y9GV60,4.3,3228,230,68,0,6.64,5,14
54,65,B01AKTZFZU,3.9,253,16,2,1,23.0,42,25
55,80,B001KYQA1S,4.1,856,16,2,0,4.22,5,20
56,61,B071CTWBJ9,4.5,59,5,10,0,10.95,65,1
57,67,B00EMAM9BC,4.4,885,10,6,1,5.89,0,33
58,63,B00HE08KUQ,3.9,152,14,2,1,17.99,0,14
59,75,B00J3G8342,3.9,264,98,6,0,27.05,0,9
60,53,B00LE99PA2,4.3,8729,219,217,0,29.88,34,13
61,52,B00PFCT2R0,4.2,801,8,0,0,6.45,5,9
62,58,B018IZXILQ,4.0,285,34,0,0,29.8,0,23
63,46,B00B1DRA94,4.3,959,14,5,0,6.76,5,19
