,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,5,B014SF6MBI,4.2,7442,552,36,0,13.95,53,1
1,4,B01161IL20,4.4,3572,129,30,0,16.95,15,5
2,18,B00PHVXIQA,4.3,2605,51,12,0,9.99,50,1
3,17,B01M1A5RRT,4.4,672,42,29,0,26.9,0,4
4,11,B06Y2CLF3T,4.8,56,4,2,0,7.99,60,1
5,6,B005IHJ556,4.5,5773,162,105,0,12.65,0,1
6,9,B01CXPSS30,4.2,590,28,3,0,0.0,0,1
7,13,B0128HRZOG,4.5,1451,68,28,0,19.95,0,1
8,8,B01KK90ZH8,4.3,1022,72,5,0,27.95,53,1
9,16,B0118QC1BA,4.6,6292,414,79,0,25.99,57,1
10,19,B00QVNKSA2,4.6,2856,112,9,0,12.95,47,1
11,12,B00QJCFWSI,4.5,1468,37,4,0,6.99,50,1
12,20,B06WW955KY,4.0,835,66,9,0,23.99,60,1
13,10,B01N4DB4A4,4.6,339,20,0,0,12.95,19,3
14,15,B0009OAHC8,4.3,1926,47,4,0,19.94,0,20
15,7,B00OEIBJRW,4.4,2834,37,31,0,9.99,50,1
16,14,B00NPC7EEU,4.7,4133,55,23,0,10.77,63,1
17,3,B00TSTZQEY,4.3,4851,128,101,0,14.95,57,1
18,2,B00V9JP8EE,4.3,9133,600,115,0,14.95,63,1
19,1,B0163GBZK8,4.4,9107,202,33,0,14.95,81,1
20,40,B01N20H4ZQ,4.7,808,26,2,1,25.99,68,1
21,37,B00P6O9KDS,4.7,746,15,16,1,6.99,42,1
22,31,B00PYS7R7M,4.5,1414,25,5,0,6.99,65,1
23,27,B001FWXHC0,4.4,564,15,3,0,15.99,76,58
24,25,B00QXVNSE0,4.5,2960,52,12,0,8.99,55,1
25,33,B00QR6SS6O,4.3,1665,45,17,0,13.95,53,1
26,39,B01MR4Y0CZ,4.7,445,82,70,0,29.99,63,1
27,24,B005MQ2BQI,4.7,1619,44,12,0,32.68,0,27
28,23,B01HULIXKU,4.5,1196,132,14,0,0.0,0,1
29,38,B01KFYCH9W,4.5,540,44,3,0,22.99,67,1
30,32,B0118Q011M,4.5,2495,185,26,0,0.0,0,1
31,21,B0019LRZ2A,4.4,2983,110,26,0,9.7,0,14
32,34,B014G8IYRM,4.3,2118,45,23,0,28.5,0,1
33,36,B06Y245185,4.5,18,0,0,0,7.99,60,1
34,28,B00Y2BGFIO,4.5,3593,158,14,0,0.0,0,1
35,26,B000E7UFM2,4.3,802,22,3,4,12.69,0,32
36,22,B004O25R8A,4.5,938,29,5,0,23.73,0,10
37,29,B01KJAJLN2,4.5,261,11,8,0,12.59,40,1
