,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,16,B00LE99PA2,4.3,8712,219,218,0,29.44,35,18
1,13,B0000YUXI0,4.3,5634,112,30,0,14.83,0,28
2,9,B00PGQYEUK,4.4,1306,61,21,0,5.99,25,28
3,2,B0186U9736,4.7,2473,164,12,0,14.2,5,1
4,1,B00MLBPDQ2,4.6,970,24,9,0,18.73,5,26
5,4,B00UYY2GUO,3.7,8576,518,58,0,18.26,5,3
6,17,B00027D0DU,4.2,340,3,0,0,4.49,25,8
7,20,B0182G7AQ0,4.5,174,4,0,0,8.97,0,1
8,11,B01MQS7GFT,4.4,620,34,1683,0,29.99,0,6
9,3,B00UYY2GSQ,3.7,8576,518,58,0,16.72,5,3
10,15,B004Y9GTYE,4.3,3206,230,66,0,6.97,5,17
11,7,B011QHFB4A,4.8,1027,38,13,0,11.99,5,1
12,10,B01AAQD2NU,4.4,2312,87,28,0,29.99,57,14
13,5,B00IOZWC2M,4.3,5749,214,20,0,14.2,5,5
14,18,B019EXWVQY,4.3,3247,145,265,0,34.99,0,1
15,12,B00PF9Q5EG,4.3,729,49,5,0,10.99,0,3
16,8,B004BCXAM8,4.1,2381,35,7,0,5.69,5,11
17,14,B0031NNE56,4.2,3895,78,11,0,22.0,0,1
18,6,B00H7KTEZ8,4.7,2627,58,24,0,13.16,5,1
19,19,B007NNU2WI,3.9,437,35,6,0,9.97,5,1
20,23,B0058E3XJI,4.1,3512,129,9,0,14.25,0,19
21,30,B00VKIJPNE,3.8,1705,80,3,0,2.38,41,25
22,36,B00B1DRA94,4.3,955,14,5,0,6.76,5,16
23,34,B00150LT40,4.4,4668,43,23,0,6.99,30,105
24,38,B005584GCK,3.9,326,4,0,1,5.1,0,9
25,25,B00UYY2GXG,3.7,8576,518,58,0,18.26,5,4
26,27,B00HVI8WYU,4.0,1090,57,23,0,5.99,0,21
27,32,B00U2VQZDS,4.6,970,24,9,0,8.52,5,5
28,26,B006UET4XE,4.0,2728,54,37,0,6.05,5,26
29,37,B06X18521Y,4.8,125,7,3,0,12.85,56,1
30,29,B01GYBSLFO,4.4,404,61,8,0,10.97,5,1
31,35,B003I6O5RC,4.2,1170,16,7,4,4.98,5,14
32,31,B00XIQVA7U,4.8,152,15,0,1,17.99,18,1
33,24,B000US084U,4.5,912,31,14,1,14.79,29,28
34,33,B00GMAWI66,4.6,3894,109,15,0,9.45,5,5
35,39,B00ZF80T0I,4.3,1483,95,353,0,12.3,5,1
36,40,B001IAINFU,4.2,1298,31,5,0,7.12,5,11
37,21,B0081E6X2Q,4.4,366,3,0,0,5.98,14,28
38,22,B004HYRH06,4.2,813,21,2,2,6.26,5,29
39,28,B00U4CM8ZE,4.5,1594,72,7,0,20.0,0,2
40,55,B00DL77W0A,4.0,504,3,1,0,6.37,28,19
41,54,B00PFCT2R0,4.2,797,8,0,0,6.4,5,9
42,57,B018IZXILQ,4.0,282,34,0,0,29.8,0,26
43,48,B00FBF1904,4.4,480,28,9,0,4.0,0,12
44,47,B001UE60E0,4.6,2038,74,16,0,26.6,5,33
45,41,B002ZTVMDI,4.2,866,11,2,3,3.98,5,20
46,45,B00OWZ0TVE,4.1,1294,31,18,0,7.39,0,2
47,44,B00NBCD7MW,4.3,4374,85,17,0,19.97,60,1
48,56,B00AVP37G8,4.1,1704,60,9,0,10.15,0,14
49,53,B01L2N2ZTC,4.7,86,9,0,0,9.95,57,1
50,58,B01HCZUEUQ,4.2,868,9,0,38,10.99,0,1
51,52,B00B4YY1GU,4.2,479,25,12,0,5.99,25,1
52,51,B01B0YEZFU,4.5,451,15,7,0,12.87,48,1
53,42,B01DPA6OHO,4.3,1125,8,3,0,5.69,5,11
54,50,B00HYK9RB2,4.3,670,27,4,0,0.0,0,1
55,59,B071CTWBJ9,4.6,50,4,9,0,11.95,61,1
56,46,B00SY7UYTS,4.4,1155,19,4,1,1.99,0,1
57,49,B01KIQMRFG,3.7,106,39,11,0,9.76,0,1
58,43,B06XF2TR11,4.0,103,0,0,0,8.99,0,1
59,60,B004Y9GTOO,4.3,3206,230,66,0,7.54,5,16
60,80,B01LDF2KB2,4.8,874,17,3,0,10.95,45,1
61,67,B00SZMYJAW,3.9,256,92,5,0,17.92,0,13
62,71,B00P0Q0T28,4.1,746,31,5,0,0.0,0,1
63,61,B00J3G8342,3.9,256,92,5,0,15.88,0,5
64,65,B001KYQA1S,4.0,853,16,2,0,4.22,5,20
65,73,B003156NN4,4.5,177,5,1,0,17.01,5,23
66,75,B00PFCT036,4.2,797,8,0,0,6.4,5,13
67,64,B06XDQ84NF,4.0,103,0,0,0,8.52,5,1
68,74,B014PVXY5W,4.1,1303,112,21,0,24.99,29,1
69,62,B00CHHL1AW,4.3,1261,12,13,2,5.89,0,26
70,66,B01CNZMMV4,4.5,1736,32,5,0,15.95,60,1
71,76,B00AO4EKSU,3.8,456,0,0,0,4.58,5,14
72,77,B004Y9GV60,4.3,3206,230,66,0,7.54,5,14
73,70,B002B4JORS,4.1,515,13,1,0,2.99,0,27
74,72,B00BUPN6UA,4.1,380,45,8,0,12.95,0,1
75,79,B018UPHLU8,4.3,490,19,4,1,24.0,17,1
76,69,B00VKHKH8C,4.2,3906,245,73,0,0.0,0,1
77,78,B00819JNLE,4.4,897,46,6,0,5.6,0,29
78,68,B00HE08KUQ,3.9,149,14,2,1,20.0,0,13
79,63,B013AX6U6Q,4.4,1694,61,27,0,29.44,41,3
80,90,B004DIUX34,4.0,420,12,1,0,2.99,50,31
81,94,B000BNG4VU,4.3,814,80,6,0,0.0,0,1
82,89,B005HGWGVS,4.3,408,32,14,0,9.99,0,1
83,99,B012W6AINS,3.9,292,24,0,0,47.99,0,9
84,100,B01643FGDW,4.4,319,17,0,0,6.4,5,9
85,86,B004OT29MA,4.2,381,0,0,0,5.69,5,14
86,84,B006R1MM2A,4.4,437,16,7,0,4.49,25,1
87,82,B00Z1XBS8O,4.2,702,78,16,0,24.98,50,1
88,83,B002YLEQ2Q,4.2,866,11,2,3,4.98,5,16
89,93,B00GKRBEF2,4.3,650,57,15,0,7.08,0,21
90,85,B004Y9GVZG,4.3,3206,230,66,0,7.54,5,13
91,97,B01DPA7900,4.4,244,17,5,0,7.54,5,7
92,95,B01AKTZFZU,3.9,250,16,2,1,22.5,44,28
93,92,B007U90J5U,4.5,1187,12,0,0,9.25,0,33
94,87,B00008MOQN,4.1,509,3,0,0,3.79,5,23
95,88,B00XENXJTO,4.7,488,27,8,1,6.95,0,1
96,96,B009WI3ZGC,3.3,240,0,0,0,2.99,0,24
97,98,B01NCQGR58,4.6,125,6,3,0,5.99,74,1
98,81,B00EMAM9BC,4.4,881,10,6,1,5.89,0,31
99,91,B019CWETAS,4.1,117,0,0,0,8.54,5,1
