,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,34,B003HBDK24,3.7,160,0,0,0,28.19,0,22
1,27,B01BC02L6M,3.4,6,0,0,0,2.49,0,1
2,40,B001FVTWWU,4.3,460,17,4,0,5.98,36,1
3,31,B014527Y0W,4.0,334,19,25,2,10.95,68,1
4,22,B016UMZFQU,4.1,422,34,0,0,12.99,0,1
5,39,B00CAF7RMW,4.4,287,25,1,0,15.95,60,1
6,26,B00K0RW4Q6,4.4,131,10,1,0,6.95,0,19
7,29,B004O276P2,4.7,821,34,10,0,36.16,0,14
8,30,B01M1CYBGQ,4.6,479,18,2,1,12.34,5,1
9,37,B01LXC2QYT,4.6,111,4,0,0,10.95,0,2
10,21,B01BWF602S,4.2,463,21,1,0,12.99,57,1
11,35,B014Q9656I,4.4,821,22,14,0,28.5,0,1
12,38,B00WF6VFSS,4.6,1388,36,9,0,19.97,50,1
13,28,B002N0U37A,4.3,1199,122,20,0,29.99,0,1
14,36,B016NCLKJI,4.6,297,16,2,1,10.0,0,1
15,33,B00T2VV6O2,4.6,1240,77,22,0,37.94,12,35
16,24,B00Y1CS2XK,4.5,893,47,6,0,12.95,74,1
17,25,B071XWZ2MG,4.9,81,7,0,0,25.99,26,1
18,32,B00S0SD45M,4.5,111,0,0,0,6.99,0,1
19,23,B01GOXB47Y,4.6,377,9,1,0,12.34,5,1
20,92,B007TNHQOY,4.3,4873,163,6,0,49.9,0,1
21,90,B01A9JE6QU,4.6,756,83,7,0,24.97,58,2
22,89,B00D5YHZRE,4.7,5168,224,37,0,18.49,0,9
23,100,B001LNWX1O,4.2,408,8,2,0,6.59,0,1
24,82,B00AZZ8NYK,4.3,704,26,6,0,39.95,0,22
25,86,B00U87LCDE,4.8,975,27,1,0,19.97,0,1
26,81,B01MT6H91G,4.2,191,23,3,0,49.99,29,1
27,97,B004EDYQX6,4.5,770,0,0,0,11.92,8,13
28,98,B01FJ9GE74,4.6,243,16,1,0,29.99,0,1
29,96,B009WHZXW2,3.8,1695,81,3,0,2.38,41,31
30,83,B00187PWDY,4.3,299,4,0,0,6.13,39,20
31,93,B006CVXR10,4.4,303,40,6,0,17.99,18,9
32,99,B0009WB49K,4.5,211,7,0,0,19.86,5,27
33,85,B00NQWL2II,3.5,164,10,2,1,6.75,0,25
34,87,B000GZPHES,4.1,256,6,0,0,0.0,0,1
35,91,B0009OAHRI,4.5,562,5,7,0,15.42,9,33
36,84,B00631YZS8,4.2,968,51,0,0,12.99,0,23
37,95,B00CAEXO2A,4.2,168,6,1,0,15.95,60,1
38,94,B0015KQUO4,4.7,153,5,0,0,26.37,0,9
39,88,B015N4V24K,4.3,102,12,0,3,20.49,0,18
40,66,B01ESRUYB0,4.4,226,11,1425,0,13.93,76,1
41,68,B00021C49W,4.4,374,12,1,0,20.29,8,18
42,72,B008V7EGKO,3.5,689,28,8,0,10.52,0,1
43,78,B01LONJ2RS,4.5,84,3,1,0,13.95,53,1
44,75,B01ACQFLAU,4.6,1319,23,10,1,12.87,0,1
45,79,B00NQGWFCQ,4.4,823,48,7,0,16.14,5,1
46,61,B00I9L4BTI,4.4,1450,72,5,0,10.95,40,1
47,80,B00BYD3OXC,4.4,228,16,0,1,2.95,58,1
48,74,B008B9HVYK,4.4,721,51,11,0,9.95,0,1
49,76,B008B9Y0EY,4.6,1810,109,77,0,9.85,30,1
50,71,B000C1ZB3I,4.5,878,10,1,3,17.06,0,66
51,67,B016YWFDWW,4.6,198,6,0,0,9.99,41,1
52,70,B015XPC59K,4.3,44,9,1,0,35.26,18,25
53,73,B001D5599I,4.5,684,15,4,0,23.99,0,40
