,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,9,B004N79BYC,4.8,329,13,1,0,12.99,0,1
1,11,B00120VWJ0,4.7,7367,362,148,0,15.99,11,18
2,15,B00MOL4AIQ,4.8,3823,86,22,0,19.95,64,1
3,17,B000HK1OOY,4.7,7367,362,148,0,15.99,0,31
4,10,B00A6FAXOM,4.3,609,16,11,0,10.5,0,22
5,6,B00HNTPF7E,4.8,2080,71,12,0,19.99,0,1
6,4,B00PV15BPW,4.5,2624,85,40,0,13.95,53,1
7,8,B01LX9IIDJ,4.2,647,35,12,0,14.95,32,1
8,20,B018MU5FN6,4.7,3923,56,24,0,21.99,55,1
9,16,B01MFGN8S5,4.9,726,19,5,1,26.8,0,1
10,5,B00QPNVC0I,4.4,1521,39,7,0,8.78,5,15
11,18,B00EP5S7HE,4.4,985,93,5,0,14.51,51,26
12,13,B00B1M0XCG,4.3,1532,65,24,0,9.57,0,4
13,12,B01F88BMC8,4.3,292,6,6,0,8.49,65,1
14,3,B072C29XCN,4.4,366,0,0,0,14.99,0,1
15,1,B01N3BW11X,4.3,560,28,8,0,14.95,60,1
16,19,B00KFR73NU,4.4,1053,25,7,0,6.95,0,4
17,2,B0046VGPHQ,4.4,5344,414,83,0,13.1,0,37
18,14,B00GJ1UK3G,4.0,1124,48,9,0,9.99,0,1
19,7,B00LIBEBTG,4.6,787,24,4,0,9.98,47,1
20,47,B00BBD508C,4.8,1202,81,56,0,27.55,5,1
21,44,B01LK643T6,4.5,479,41,0,0,12.95,41,4
22,60,B06Y3KKCSL,5.0,211,0,0,0,14.95,25,1
23,51,B01L5DBDXS,4.9,45,7,4,1,19.95,60,1
24,54,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1
25,55,B00BOUQTJG,4.3,90,9,9,0,5.68,5,11
26,56,B00CUOSTDE,4.0,39,3,0,0,10.59,0,1
27,53,B01N6JG35L,4.7,22,0,0,0,2.85,5,1
28,45,B004N7FE8Y,4.8,289,7,3,0,19.99,0,1
29,43,B00LIBEDC6,4.5,377,12,2,3,11.95,46,1
30,58,B01BMT8XDI,4.3,153,8,1,0,12.36,0,1
31,48,B01EXBUFII,4.3,715,45,13,0,19.99,0,1
32,46,B00HMSU4ZE,4.5,336,8,1,0,16.33,0,13
