,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,11,B00LE99PA2,4.3,8693,219,218,0,29.88,34,17
1,8,B0000YUXI0,4.3,5629,112,30,0,14.99,0,26
2,7,B002ZTVMDI,4.2,865,11,2,3,3.98,5,20
3,3,B0186U9736,4.7,2457,162,12,0,14.2,5,1
4,1,B00MLBPDQ2,4.6,965,23,9,0,18.73,5,24
5,4,B00UYY2GUO,3.7,8518,514,57,0,18.26,5,3
6,13,B00027D0DU,4.2,339,3,0,0,3.62,40,8
7,20,B0182G7AQ0,4.5,173,4,0,0,8.97,0,1
8,9,B00PGQYEUK,4.4,1286,61,21,0,5.99,25,26
9,2,B00UYY2GSQ,3.7,8518,514,57,0,16.72,5,3
10,14,B006UET4XE,4.0,2723,54,37,0,6.07,5,26
11,16,B019EXWVQY,4.3,3189,144,262,0,34.99,0,1
12,10,B01AAQD2NU,4.5,2302,87,28,0,29.99,57,13
13,12,B0058E3XJI,4.1,3501,129,9,0,14.37,0,19
14,6,B00HYK9RB2,4.3,665,27,4,0,3.47,61,7
15,18,B0031NNE56,4.2,3888,78,11,0,22.0,0,1
16,19,B00VKHKH8C,4.2,3895,245,74,0,12.95,0,1
17,17,B00PF9Q5EG,4.3,716,49,5,0,10.99,0,3
18,5,B00H7KTEZ8,4.7,2618,58,24,0,13.16,5,1
19,15,B01MQS7GFT,4.4,581,34,1683,0,29.99,0,5
20,36,B00GMAWI66,4.6,3887,109,15,0,9.45,5,5
21,26,B01CNZMMV4,4.5,1722,32,5,0,15.95,60,1
22,32,B0081E6X2Q,4.4,365,3,0,0,6.12,0,29
23,33,B00FBF1904,4.4,477,28,9,0,4.0,0,12
24,40,B06XF2TR11,4.0,97,0,0,0,8.99,0,1
25,25,B00OWZ0TVE,4.1,1281,31,18,0,7.39,0,2
26,23,B00UYY2GXG,3.7,8518,514,57,0,18.26,5,3
27,34,B00HVI8WYU,4.0,1082,55,23,0,5.99,0,20
28,38,B00U2VQZDS,4.6,965,23,9,0,8.52,5,7
29,37,B01L2N2ZTC,4.7,85,9,0,0,9.95,57,1
30,31,B004HYRH06,4.2,806,21,2,2,6.59,40,27
31,22,B011QHFB4A,4.8,1016,38,14,0,11.99,5,1
32,39,B01DPA6OHO,4.3,1122,8,3,0,5.69,5,13
33,30,B000US084U,4.5,909,31,14,0,14.79,29,27
34,21,B004BCXAM8,4.1,2366,35,7,0,6.1,5,10
35,28,B01C2EFBZU,3.9,1113,78,4,0,45.0,31,1
36,35,B0051IC96Y,4.6,274,19,1,0,2.48,69,8
37,24,B00VKIJPNE,3.8,1694,80,3,0,2.38,41,26
38,27,B004Y9GTYE,4.3,3193,230,66,0,6.45,5,16
39,29,B00U4CM8ZE,4.5,1581,72,7,0,20.0,0,2
