,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,3,B01161IL20,4.4,3564,128,30,0,16.95,15,5
1,5,B014SF6MBI,4.2,7436,552,36,0,13.95,53,1
2,19,B00PHVXIQA,4.3,2604,50,12,0,9.99,50,1
3,15,B0128HRZOG,4.5,1450,67,28,0,19.95,0,1
4,7,B005IHJ556,4.5,5771,162,105,0,12.65,0,1
5,17,B0118QC1BA,4.6,6289,414,79,0,25.99,57,1
6,20,B01M1A5RRT,4.4,668,42,29,0,26.9,0,4
7,11,B00QJCFWSI,4.5,1463,37,4,0,6.99,50,1
8,8,B01KK90ZH8,4.3,1018,72,5,0,27.95,53,1
9,10,B01CXPSS30,4.2,588,28,3,0,0.0,0,1
10,13,B06Y2CLF3T,4.8,55,3,1,0,7.99,60,1
11,12,B06WW955KY,4.0,833,66,9,0,23.99,60,1
12,14,B00QVNKSA2,4.6,2855,112,9,0,12.95,47,1
13,9,B01N4DB4A4,4.6,336,20,0,0,12.95,19,3
14,6,B00OEIBJRW,4.4,2829,37,31,0,9.99,50,1
15,16,B0009OAHC8,4.3,1926,47,4,0,19.94,0,20
16,18,B00NPC7EEU,4.7,4131,55,23,0,10.77,63,1
17,4,B00TSTZQEY,4.3,4846,128,101,0,14.95,57,1
18,2,B00V9JP8EE,4.3,9124,600,115,0,13.95,65,1
19,1,B0163GBZK8,4.4,9100,202,33,0,14.95,81,1
20,37,B00VXHY6KY,4.4,1228,47,28,0,13.95,53,1
21,23,B005MQ2BQI,4.7,1618,44,12,0,32.77,0,27
22,27,B00QXVNSE0,4.5,2959,52,12,0,8.99,55,1
23,39,B01KFYCH9W,4.5,540,44,3,0,22.99,67,1
24,32,B00QR6SS6O,4.3,1664,45,17,0,13.95,53,1
25,21,B01HULIXKU,4.5,1194,131,14,0,0.0,0,1
26,40,B00P6O9KDS,4.7,746,15,16,1,6.99,42,1
27,29,B01J15VL8O,4.0,833,66,9,0,14.24,5,1
28,36,B00PYS7R7M,4.5,1413,25,5,0,6.99,65,1
29,34,B0118Q011M,4.5,2495,185,26,0,0.0,0,1
30,22,B0019LRZ2A,4.4,2981,110,26,0,9.71,0,13
31,30,B014G8IYRM,4.3,2117,45,23,0,28.5,0,1
32,28,B001FWXHC0,4.4,564,15,3,0,15.99,76,57
33,26,B00Y2BGFIO,4.5,3590,158,14,0,0.0,0,1
34,25,B000E7UFM2,4.3,802,22,3,4,12.69,0,30
35,35,B06Y245185,4.5,18,0,0,0,7.99,60,1
36,24,B004O25R8A,4.5,937,28,5,1,23.73,0,10
37,31,B00SA5UWW8,4.5,4355,98,20,0,19.99,51,3
38,33,B01KJAJLN2,4.5,261,11,8,0,12.59,40,1
39,38,B000XE5260,4.4,1950,61,16,0,35.8,0,73
40,72,B00GF9ZBJA,4.3,370,16,3,0,15.59,0,29
41,63,B00SI585E2,4.5,251,15,3,1,12.99,50,1
42,67,B00UNXFD6A,4.7,795,27,2,0,9.99,50,1
43,69,B000C1Z5AW,4.4,503,10,0,1,35.38,55,60
44,62,B01GXOXYSG,4.6,95,10,0,0,14.22,5,1
45,68,B0183K2AG0,4.7,2002,202,62,0,29.75,57,1
46,70,B00R36LSZ0,4.7,901,33,10,0,13.84,31,16
47,64,B01F2AKYYO,4.3,703,14,0,0,12.99,63,1
48,65,B00QXVNRGY,4.5,1185,29,3,0,7.99,60,1
49,74,B000WZR1R8,4.5,356,8,5,10,48.99,33,1
50,79,B000C213ES,4.2,3199,60,10,0,75.99,26,1
51,73,B0000ZUGS6,4.4,1332,28,23,3,14.5,0,1
52,80,B00PHVXISS,4.4,1127,43,4,0,8.99,55,1
53,78,B01N1856R7,4.7,75,4,0,0,13.95,35,1
54,75,B01JKWNM1W,4.6,925,104,7,0,42.99,61,1
55,77,B00BKQIMBC,4.0,695,22,17,0,7.36,0,5
56,71,B01LB17194,4.8,781,99,19,0,45.99,58,1
57,66,B003I6TOM8,4.4,638,21,8,1,23.17,0,13
58,61,B071L6L14D,4.6,16,0,0,0,0.0,0,1
59,76,B00QXVMPOY,4.6,2120,46,4,0,7.99,43,1
60,90,B00K0DI04A,4.4,1043,61,14,0,7.5,0,43
61,98,B01GRL0XMK,3.9,1057,86,10,0,14.99,70,1
62,82,B0017JT658,4.0,586,15,5,3,10.99,0,26
63,100,B01N7U6R1F,4.7,94,3,0,0,10.95,55,1
64,85,B004O22328,4.6,788,23,6,4,11.48,0,15
65,89,B00BLI96DW,3.2,367,36,3,0,13.86,54,1
66,99,B00YQ93VPW,4.3,1168,50,17,0,19.95,49,1
67,86,B01CPUVTI4,4.3,126,15,0,0,2.95,58,1
68,84,B00PM2T3N6,4.5,493,13,2,0,7.49,50,1
69,88,B00QR1VQB8,4.5,1536,51,3,0,7.79,48,1
70,96,B00X8FZODW,4.4,378,20,4,1,13.95,77,1
71,87,B004NJXW1I,4.3,705,33,6,0,33.5,0,19
72,95,B01N7IZ4BZ,4.4,350,54,3,0,21.99,45,1
73,92,B01MR7J7YR,4.6,2947,406,30,0,29.99,25,1
74,97,B06Y2GVW5Z,3.4,25,0,0,0,9.99,50,1
75,93,B000C1ZDTU,4.1,2171,28,6,0,20.29,70,10
76,94,B000C213ZM,4.5,1385,24,2,0,31.49,0,65
77,83,B004O276EI,4.6,593,20,0,1,11.87,0,8
78,81,B000MGOZJ4,4.6,176,6,1,0,4.36,0,28
79,91,B00BKQIQDQ,4.4,557,14,0,1,6.95,0,2
80,42,B01N20H4ZQ,4.7,805,26,2,1,25.99,68,1
81,49,B01JRD7Y9U,4.4,770,21,11,0,11.95,76,1
82,60,B002XQ1X4G,4.5,2053,84,15,0,49.99,0,36
83,47,B00P6O790E,4.6,776,14,2,0,5.99,70,1
84,45,B00B4TR3KG,4.4,1043,61,14,0,41.94,0,102
85,51,B00VS18XEK,4.3,837,68,12,0,15.5,0,11
86,43,B01MR4Y0CZ,4.7,444,82,70,0,29.99,63,1
87,41,B001U582SQ,4.2,286,15,1,1,52.28,38,1
88,57,B01G0WMTYQ,4.5,387,19,6,0,12.98,0,1
89,54,B005O91CUE,4.3,536,11,0,1,17.35,0,1
90,56,B000C1Z3LS,4.6,779,15,4,2,31.49,0,62
91,58,B000JL7WQK,4.3,1445,37,8,0,23.99,0,79
92,46,B01KFU4IL6,4.3,739,48,4,0,10.95,42,2
93,44,B00PHQB8EE,4.4,287,14,1,0,7.49,50,1
94,55,B01KJAJMEA,4.6,39,6,4,1,0.0,0,1
95,59,B00028M3N2,4.5,1278,81,32,0,12.79,0,28
96,48,B011JBP5DK,4.4,1375,69,37,0,11.97,37,1
97,53,B00PHMOXH2,4.3,509,15,8,0,6.99,65,1
98,50,B01FK2S73Y,4.2,623,79,13,0,19.95,60,1
99,52,B00C9358NU,4.4,848,33,11,0,15.95,60,1
