,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,68,B00V75EUWQ,4.1,778,27,5,0,8.99,0,4
1,77,B001ECQ7G4,4.4,2858,111,7,0,21.99,0,16
2,75,B0723BKB5W,5.0,4,0,0,0,0.0,0,1
3,79,B003YJAZZ4,4.4,4771,609,238,0,154.32,47,40
4,71,B01M1H2J7T,4.5,1044,9,1,1,6.97,53,1
5,63,B00MAOCXZ4,3.3,457,0,0,0,5.49,15,9
6,76,B0043OYFKU,4.3,7058,319,78,0,24.99,0,4
7,66,B0050QJHTO,4.2,6469,335,92,0,23.71,5,12
8,62,B0019LWU2K,4.7,1385,87,48,0,6.06,33,38
9,80,B013SJWE2G,4.5,915,29,13,0,6.99,0,3
10,64,B003JFJF5E,3.8,376,45,20,0,6.64,5,8
11,67,B01F88BMC8,4.3,292,6,6,0,8.49,65,1
12,78,B003KNUX6A,4.6,718,8,0,0,19.9,5,9
13,65,B01N2VNJXC,4.4,1623,51,5,0,49.99,58,1
14,74,B01LZ3RLPC,4.5,132,11,0,0,9.98,72,2
15,73,B01859QHAY,4.3,770,83,38,0,39.95,20,14
16,70,B009WQH8SA,4.5,1783,37,10,0,5.98,5,19
17,72,B0084AWBRS,4.7,702,24,5,8,4.27,29,10
18,61,B06XRX3XYS,2.8,229,4,0,1,12.99,68,1
19,69,B00VPVEVSK,4.7,973,15,0,1,7.75,66,1
20,100,B01JSVXHFG,4.2,317,159,8,0,13.99,0,1
21,89,B00E4PMQAO,4.5,5236,80,53,0,17.95,22,2
22,82,B00TKS5Y3Q,4.7,5318,40,31,0,13.26,67,1
23,91,B009WUA658,4.1,1198,20,7,1,9.29,16,1
24,98,B004B8F8MM,4.2,736,10,1,1,22.77,5,1
25,87,B00BPBLMCS,4.4,1715,81,124,0,32.95,23,9
26,86,B001JQLNH8,4.5,582,10,3,7,12.32,5,3
27,99,B0037LOPQY,4.1,1700,16,3,2,6.62,5,10
28,97,B00CGN9LQ8,4.3,4298,73,30,0,10.77,51,1
29,95,B013XJUWC0,4.2,1940,23,16,0,8.97,25,1
30,88,B0009DT39C,4.2,2464,122,60,0,19.99,0,1
31,84,B00821ZHMK,4.5,5455,102,42,0,8.99,36,26
32,96,B00YNF6H1O,4.2,1847,25,1992,0,7.95,87,1
33,94,B0037HP9OA,4.1,3590,332,132,0,59.95,14,20
34,85,B000AAAVZE,3.3,808,19,5,1,4.27,5,18
35,93,B01HIPSFV0,4.8,858,8,1,3,9.97,33,1
36,81,B00GJ1UK3G,4.0,1124,47,9,0,9.99,0,1
37,92,B0182XCOGE,4.6,2489,66,14,0,11.68,0,1
38,90,B01D328DG4,4.5,272,4,2,0,23.7,5,7
39,83,B01HTGNIH4,4.4,708,26,0,0,6.99,73,1
40,31,B000FYVOJC,4.3,3677,79,20,0,19.94,0,99
41,28,B003983I1S,4.5,3141,44,33,0,28.47,5,1
42,35,B01EWBYUDU,4.2,1694,37,34,0,7.99,60,3
43,40,B00H2B4H2M,4.1,2270,212,80,0,14.99,25,16
44,32,B00GZG4KSG,4.3,517,36,8,0,16.19,46,8
45,22,B000050FDY,4.6,624,28,5,0,8.99,36,23
46,36,B00UKVNSLC,4.4,965,113,13,0,39.97,52,10
47,34,B003S516XO,4.4,4118,228,34,0,19.96,0,17
48,25,B001VEK1HQ,4.4,2399,120,36,0,37.99,5,14
49,24,B000068PBT,4.5,5478,318,54,0,29.0,0,47
50,27,B000VDEQBK,4.5,168,4,1,0,4.35,0,1
51,39,B008O47ILI,4.5,239,13,14,0,2.29,0,32
52,38,B013SJMB10,4.3,1475,38,6,0,6.99,65,3
53,29,B004BCXAM8,4.1,2393,35,7,0,5.69,5,12
54,23,B0018A32XS,4.2,4239,322,85,0,17.99,28,1
55,33,B00R6P72JO,4.8,7967,92,45,0,7.39,0,9
56,21,B00ARF42H0,4.3,6269,396,296,0,19.99,0,13
57,37,B0039LMTBU,4.1,1700,16,3,2,13.24,5,5
58,26,B01D328BG6,4.2,1989,203,32,0,34.95,0,1
59,30,B00QPNVC0I,4.4,1520,39,7,0,8.78,5,15
60,53,B000NJG82W,4.2,1711,40,14,0,3.4,77,25
61,49,B01JLVS726,4.4,463,44,8,0,11.44,0,20
62,47,B01EMW5MY0,4.0,93,0,0,0,0.0,0,1
63,45,B00LMIVLXY,4.3,2755,99,29,0,14.2,5,2
64,58,B003KWVOD2,4.5,4625,87,15,0,15.64,13,10
65,54,B00BVO6RT2,4.3,368,20,1,0,13.99,0,8
