,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
0,91,B0170AFF8O,4.4,96,9,0,0,7.99,20,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,1.0,86.0
1,82,B014QVV9UI,5.0,9,0,0,0,4.97,23,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.0,0.0,85.0
2,81,B01B8P253K,4.3,67,3,0,0,7.99,20,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,1.0,79.0
3,89,B00AMO22SM,4.8,525,19,5,0,26.99,10,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,81.0
4,97,B00H3MATM2,3.8,705,18,7,0,8.88,56,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,92.0
5,95,B01J5GC24Q,5.0,3,0,0,0,7.49,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,95.0
6,88,B01NCHUD0M,4.1,81,4,0,0,11.88,60,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,77.0
7,87,B01DMQ7VBO,4.7,120,0,0,0,16.65,0,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,84.0
8,85,B01N8ZYDWC,4.4,193,8,1,1,13.99,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,82.0
9,96,B01MFGP4ET,4.4,193,8,1,1,12.56,10,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
10,100,B071P2RHG2,4.7,4,0,0,0,10.99,45,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,97.0
11,90,B018UJYU2Q,4.0,306,25,3,2,23.66,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,94.0
12,99,B01D8030L4,4.0,163,14,3,3,9.95,75,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,90.0
13,83,B06WWJJHM9,4.4,28,0,0,0,7.99,29,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,7.0,83.0
14,84,B0011DJICG,4.2,415,8,0,0,17.03,5,37,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,4.0,0.0,1.0,96.0
15,92,B008MOK95W,4.7,7360,362,148,0,12.0,0,11,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,89.0
16,98,B01MYMKZPC,4.0,56,0,0,0,6.76,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,5.0,93.0
17,94,B00JB8VN4E,4.0,289,10,0,3,12.65,24,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,88.0
18,86,B01D9O1GA6,4.5,22,0,0,0,19.99,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,1.0,87.0
19,93,B01DHHJ9S6,4.6,126,6,5,0,13.97,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
20,67,B00VTHCARY,4.6,132,4,1,0,5.59,5,8,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,1.0,0.0,4.0,69.0
21,80,B01MYA4Q1X,4.4,200,10,0,0,14.5,58,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,76.0
22,74,B0193G18AW,4.4,193,8,1,1,2.98,40,16,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,4.0,91.0
23,76,B000JJAVPQ,4.5,173,14,1,0,6.99,0,8,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,75.0
24,61,B004S0ETHI,4.5,213,8,1,0,18.0,0,18,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,1.0,0.0,0.0,57.0
25,66,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1,1,0,0,0,0,0,0,0.0,0.0,1.0,1.0,2.0,9.0,4.0,2.0,0.0,0.0,65.0
26,68,B00BOUQTJG,4.3,89,9,9,0,5.68,5,11,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,5.0,0.0,0.0,67.0
27,64,B01N6JG35L,4.7,22,0,0,0,2.85,5,1,1,0,0,0,0,0,0,0.0,0.0,7.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,60.0
28,73,B004GINGOY,4.7,772,57,7,0,16.99,6,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,73.0
29,79,B000F54AN8,3.7,3632,207,128,0,21.38,0,14,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,2.0,78.0
30,65,B00VR9YE8C,4.2,471,11,3,0,10.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,5.0,3.0,5.0,6.0,0.0,0.0,0.0,64.0
