,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,30,B00GMAWI66,4.6,3902,109,15,0,9.45,5,5
1,38,B00SZMYJAW,3.9,263,98,5,0,19.6,0,21
2,39,B00FBF1904,4.4,482,28,9,0,4.0,0,12
3,37,B007NNU2WI,3.9,440,36,6,0,10.49,25,1
4,31,B00150LT40,4.4,4660,44,23,0,6.06,39,107
5,29,B06XDQ84NF,4.0,111,4,0,0,8.52,5,1
6,36,B00NBCD7MW,4.3,4383,87,17,0,19.97,60,1
7,22,B0182G7AQ0,4.5,174,4,0,0,8.97,0,1
8,26,B00HVI8WYU,4.0,1100,57,23,0,5.99,0,21
9,32,B00OWZ0TVE,4.1,1306,31,18,0,7.39,0,2
10,25,B006UET4XE,4.0,2734,54,37,0,6.05,5,30
11,34,B06X18521Y,4.8,130,8,3,0,13.85,52,1
12,33,B01GYBSLFO,4.4,407,61,8,0,10.97,5,1
13,40,B00B4YY1GU,4.2,483,25,12,0,5.99,25,1
14,21,B06XF2TR11,4.0,111,4,0,0,8.99,0,1
15,23,B00UYY2GXG,3.7,8635,522,58,0,20.68,5,3
16,35,B0081E6X2Q,4.4,367,3,0,0,5.98,14,29
17,28,B004HYRH06,4.2,824,21,2,2,6.26,5,27
18,24,B00U4CM8ZE,4.4,1609,73,7,0,20.0,0,2
19,27,B000US084U,4.5,916,31,14,1,17.36,17,27
20,16,B019EXWVQY,4.3,3320,147,265,0,34.99,0,1
21,10,B0000YUXI0,4.3,5644,112,30,0,14.95,0,7
22,7,B00PGQYEUK,4.4,1325,62,21,0,5.99,25,27
23,4,B0186U9736,4.7,2485,167,12,0,14.2,5,1
24,1,B00MLBPDQ2,4.6,979,27,9,0,18.73,5,29
25,2,B00UYY2GUO,3.7,8635,522,58,0,17.93,5,3
26,17,B00027D0DU,4.2,343,3,0,0,4.49,25,8
27,8,B01MQS7GFT,4.4,666,35,1683,0,29.99,0,6
28,5,B00UYY2GSQ,3.7,8635,522,58,0,16.72,5,3
29,18,B004Y9GTYE,4.3,3223,230,67,0,6.91,5,18
30,15,B011QHFB4A,4.8,1033,38,13,0,11.99,5,1
31,11,B01AAQD2NU,4.4,2321,87,28,0,29.99,57,18
32,3,B00IOZWC2M,4.3,5773,216,20,0,14.2,5,5
33,13,B0058E3XJI,4.1,3525,131,9,0,14.25,0,19
34,12,B00PF9Q5EG,4.3,745,49,5,0,10.99,0,1
35,9,B004BCXAM8,4.1,2392,35,7,0,5.69,5,12
36,14,B0031NNE56,4.2,3907,78,11,0,22.0,0,1
37,19,B00VKHKH8C,4.2,3915,245,73,0,12.95,68,1
38,20,B00VKIJPNE,3.8,1690,80,3,0,2.38,41,25
39,6,B00H7KTEZ8,4.7,2641,58,24,0,13.16,5,1
40,89,B00DL77W0A,4.0,508,4,1,0,6.28,29,20
41,100,B004BCXEF6,3.9,603,8,0,0,5.55,5,17
42,87,B005HGWGVS,4.3,414,33,14,0,9.99,0,1
43,97,B004DIUX34,4.0,422,12,1,0,2.99,50,32
44,81,B001KYQA1S,4.0,853,16,2,0,4.22,5,20
45,90,B00008MOQN,4.0,513,3,0,0,4.22,5,23
46,82,B007MJKHPA,4.0,880,56,1,0,3.74,0,35
47,88,B003156NN4,4.4,178,6,1,0,16.49,5,24
48,94,B014PVXY5W,4.1,1305,113,21,0,24.99,29,1
49,93,B00Y825998,3.7,8635,522,58,0,18.76,5,3
50,84,B01D90BYKC,4.5,306,4,0,0,17.93,0,1
51,96,B01HCZUEUQ,4.2,877,9,0,43,10.99,0,1
52,98,B002YLEQ2Q,4.2,869,11,2,3,4.98,5,16
53,99,B007U90J5U,4.5,1188,12,0,0,8.5,0,32
54,83,B00T3VL8BC,4.2,333,23,1,0,5.5,0,1
55,86,B00GKRBEF2,4.3,652,57,15,0,7.75,0,18
56,91,B071CTWBJ9,4.6,56,5,9,0,10.95,65,1
57,95,B00HD5NRSC,4.2,25,6,2,0,21.77,38,51
58,92,B006R1MM2A,4.4,441,16,7,0,4.49,25,1
59,85,B00PFCT036,4.2,801,8,0,0,6.4,5,13
60,61,B018IZXILQ,4.0,285,34,0,0,29.8,0,24
61,66,B00819JNLE,4.4,906,46,6,0,4.96,17,30
62,65,B012W6AINS,3.9,295,24,0,0,49.75,0,11
63,77,B00J3G8342,3.9,263,98,5,0,25.26,0,7
64,76,B00L1CYB7O,3.8,296,17,1,0,14.99,0,10
65,64,B00Z1XBS8O,4.2,703,80,17,0,24.98,50,1
66,63,B000BNG4VU,4.3,818,80,6,0,0.0,0,1
67,71,B00P0Q0T28,4.1,749,31,5,0,0.0,0,1
68,78,B001ODAJOY,4.3,246,28,9,0,6.1,0,14
69,80,B004Y9GVZG,4.3,3223,230,67,0,6.64,5,12
70,68,B004Y9GV60,4.3,3223,230,67,0,6.64,5,14
71,67,B01AKTZFZU,3.9,252,16,2,1,22.7,43,25
72,72,B00CHHL1AW,4.3,1264,12,13,2,5.89,0,23
73,79,B001IAINFU,4.2,1302,31,5,0,7.12,5,13
74,62,B00XENXJTO,4.7,491,27,11,1,6.95,0,1
75,74,B002B4JORS,4.1,522,13,1,0,2.99,0,26
76,73,B01B0YEZFU,4.5,456,15,7,0,12.87,48,1
77,70,B00EMAM9BC,4.4,884,10,6,1,5.89,0,32
78,69,B00HE08KUQ,3.9,152,14,2,1,20.54,0,12
