,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
0,62,B00VTHCARY,4.6,132,4,1,0,5.59,5,8,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,1.0,0.0,4.0,64.0
1,69,B0193G18AW,4.4,193,8,1,1,2.98,40,16,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,4.0,69.0
2,77,B000CSDDDG,4.8,598,28,10,9,7.47,0,7,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,78.0
3,65,B004S0ETHI,4.5,213,8,1,0,18.0,0,18,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,1.0,0.0,0.0,65.0
4,74,B0011DJICG,4.2,415,8,0,0,17.03,5,37,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,5.0,5.0,2.0,4.0,2.0,1.0,81.0
5,63,B00BOUQTJG,4.3,89,9,9,0,5.68,5,11,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,1.0,3.0,10.0,5.0,0.0,0.0,62.0
6,80,B004GINGOY,4.7,772,57,7,0,16.99,6,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,77.0
7,78,B000JJAVPQ,4.5,173,14,1,0,6.99,0,8,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,76.0
8,68,B00VR9YE8C,4.2,471,11,3,0,10.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,5.0,3.0,5.0,8.0,0.0,0.0,0.0,67.0
9,67,B01L5DBDXS,4.9,44,7,4,1,19.95,60,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,68.0
10,73,B014QVV9UI,5.0,10,0,0,0,4.97,23,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.0,0.0,73.0
11,79,B018UJYU2Q,4.0,306,25,3,2,23.66,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.0,79.0
12,71,B002LA1D9Y,4.5,377,16,1,0,14.9,12,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,2.0,71.0
13,61,B06Y3KKCSL,5.0,210,0,0,0,14.95,25,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,1.0,2.0,1.0,61.0
14,64,B00ADJEUAY,4.5,172,11,5,0,10.0,0,62,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,63.0
15,76,B008MP481M,4.2,2854,38,14,0,12.5,50,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,2.0,75.0
