,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,1,B0014P8L9W,4.5,13074,1000,262,0,9.4,0,59
1,20,B0012J30LY,4.3,2884,192,29,0,16.93,5,10
2,13,B01MEG6C50,3.0,810,13,13,2,10.99,73,1
3,4,B00MWI2IS0,4.3,4794,222,31,0,10.5,0,72
4,12,B002MSN3QQ,4.4,2635,190,35,0,32.5,0,1
5,6,B01K2UMMI0,4.3,4461,164,60,0,23.95,56,1
6,11,B004D2DR0Q,4.4,1918,137,21,0,10.68,5,19
7,16,B00461F4PA,3.9,6942,394,97,0,0.0,0,1
8,9,B0020VJTDG,4.4,906,14,3,3,6.21,5,48
9,17,B000S5S1DK,4.3,3752,64,52,0,3.29,0,1
10,8,B01M4MCUAF,4.5,5679,475,106,0,19.99,50,1
11,5,B00HYV2F7E,4.2,790,23,16,0,13.91,5,1
12,3,B004CDQ73K,4.4,1926,131,25,0,9.72,5,62
13,18,B00IOZWC2M,4.3,5779,216,20,0,14.2,5,5
14,2,B00016XJ4M,4.6,8164,314,107,0,10.47,48,45
15,19,B00H33ZP3O,4.3,88,17,2,0,13.49,24,1
16,14,B00MLBPDQ2,4.6,980,27,9,0,18.73,5,31
17,10,B004AI97MA,4.3,4558,347,81,0,12.34,5,1
18,15,B001V9SXXU,4.6,4261,241,82,0,11.01,5,50
19,7,B0002QB9NE,4.5,5982,93,58,0,8.47,0,1
20,48,B000NWGCZ2,4.6,2514,80,32,0,12.72,5,49
21,44,B007KA7V5U,4.2,199,7,3,0,7.57,5,25
22,56,B00PO7GKLM,4.4,1384,99,98,0,21.95,54,1
23,52,B01LTIQ0R8,3.4,7,0,0,0,11.99,0,1
24,53,B00H2B4H2M,4.1,2275,212,80,0,14.99,25,17
25,60,B00HNSSV3U,4.6,380,28,12,0,8.99,12,1
26,50,B00K2RFAX8,4.6,1198,35,10,0,5.59,0,1
27,55,B0147LDPRM,4.2,1700,76,21,0,10.41,5,5
28,41,B00XTAFYKY,4.2,7281,547,75,0,32.5,19,3
29,45,B00NCF7206,4.8,2149,95,7,0,0.0,0,1
30,47,B0054LHI5A,4.7,2957,68,22,0,8.54,5,25
31,51,B00B81XR1Y,4.2,278,8,1,1,14.24,5,10
32,54,B004X8JVT6,4.4,127,4,1,0,3.97,64,19
33,42,B00X6ZNWG0,3.5,923,38,11,0,33.2,5,1
34,46,B01LZOA8F6,3.8,762,35,3,0,13.98,18,1
35,43,B00PCURCYA,4.4,856,14,35,1,6.62,5,14
