,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,23,B00V6WZ7WW,4.3,645,20,10,0,4.97,17,15
1,32,B008RDEI0A,4.6,337,10,1,0,30.95,0,6
2,38,B001MIZMP2,4.5,1988,52,13,0,10.47,42,21
3,40,B0016ISD04,4.3,737,21,27,5,5.45,0,12
4,26,B00ZMXCN1O,4.7,1384,45,20,0,19.95,60,1
5,22,B00ZRWMCXY,3.9,1639,51,25,0,13.99,53,1
6,37,B00KVOR9VI,4.4,1477,16,9,2,13.75,45,3
7,27,B004N7DQHA,4.9,2414,65,76,0,34.99,0,1
8,29,B016DQUKE0,4.7,435,5,0,0,12.95,48,1
9,33,B007THNPBS,4.4,162,0,0,0,4.87,19,33
10,35,B01AJQ6LRK,3.8,269,7,0,0,3.49,30,1
11,24,B071YTN8PQ,4.6,52,9,3,3,24.94,0,1
12,28,B00B7QEBHE,4.7,272,9,1,0,8.99,0,1
13,34,B071JCHR7S,4.9,2414,65,76,0,28.99,0,1
14,30,B001CTQMIC,4.3,910,14,4,5,8.49,35,1
15,39,B071XP2F8C,5.0,2,0,0,0,14.95,50,1
16,21,B00EP5S7HE,4.4,983,93,5,0,14.51,51,26
17,36,B004N7FE8Y,4.8,289,7,3,0,19.99,0,1
18,25,B0158S5BIY,4.6,577,13,6,0,17.77,53,1
19,31,B00YE3CPW0,4.6,1259,22,4,0,14.99,63,1
20,7,B004N79BYC,4.8,329,13,1,0,12.99,0,1
21,12,B00120VWJ0,4.7,7360,362,148,0,15.99,11,18
22,15,B00MOL4AIQ,4.8,3821,86,22,0,19.95,64,1
23,17,B000HK1OOY,4.7,7360,362,148,0,15.99,0,32
24,13,B00A6FAXOM,4.3,607,15,11,0,10.39,0,22
25,9,B00HNTPF7E,4.8,2080,71,12,0,19.99,0,1
26,3,B00PV15BPW,4.5,2622,85,39,0,13.95,53,1
27,8,B01LX9IIDJ,4.2,646,35,12,0,14.95,32,1
28,19,B018MU5FN6,4.7,3922,56,24,0,21.99,55,1
29,16,B01MFGN8S5,4.9,721,19,5,1,26.8,0,1
30,6,B00QPNVC0I,4.4,1518,39,7,0,8.78,5,15
31,5,B00B1M0XCG,4.3,1532,65,24,0,9.57,0,4
32,11,B01F88BMC8,4.3,290,6,6,0,8.49,65,1
33,2,B0046VGPHQ,4.4,5340,414,83,0,13.1,0,38
34,1,B01N3BW11X,4.3,552,28,8,0,14.95,60,1
35,20,B00KFR73NU,4.4,1050,25,7,0,6.95,0,4
36,18,B007IAE5WY,4.7,1004,36,9,0,11.4,0,17
37,4,B072C29XCN,4.5,446,0,0,0,14.99,0,1
38,14,B00GJ1UK3G,4.0,1123,47,9,0,9.99,0,1
39,10,B00LIBEBTG,4.6,786,24,4,0,9.98,47,1
40,80,B01DHHJ9S6,4.6,126,6,5,0,13.97,0,1
41,64,B00VTHCARY,4.6,132,4,1,0,5.59,5,8
42,69,B0193G18AW,4.4,193,8,1,1,2.98,40,16
43,76,B000JJAVPQ,4.5,173,14,1,0,6.99,0,8
44,65,B004S0ETHI,4.5,213,8,1,0,18.0,0,18
45,79,B018UJYU2Q,4.0,306,25,3,2,23.66,5,1
46,62,B00BOUQTJG,4.3,89,9,9,0,5.68,5,11
47,77,B004GINGOY,4.7,772,57,7,0,16.99,6,1
48,78,B000CSDDDG,4.8,598,28,10,9,7.47,0,7
49,67,B00VR9YE8C,4.2,471,11,3,0,10.99,0,1
50,68,B01L5DBDXS,4.9,44,7,4,1,19.95,60,1
51,73,B014QVV9UI,5.0,10,0,0,0,4.97,23,1
52,71,B002LA1D9Y,4.5,377,16,1,0,14.9,12,1
53,61,B06Y3KKCSL,5.0,210,0,0,0,14.95,25,1
54,63,B00ADJEUAY,4.5,172,11,5,0,10.31,0,62
55,75,B008MP481M,4.2,2854,38,14,0,12.5,50,1
56,74,B01HHNQUEW,4.3,217,7,3,3,16.95,50,1
57,66,B00VVMBRIK,4.8,752,27,7,1,19.97,56,1
58,70,B00B7QZGI2,4.8,153,10,0,0,9.99,0,1
59,72,B015O21XPE,3.9,486,9,15,1,6.76,0,1
60,44,B005IYYF5E,4.2,313,5,1,1,3.99,0,7
61,42,B01A09JXNK,4.2,1085,35,6,0,10.99,27,1
62,49,B07289VCXR,4.0,414,13,2,0,12.34,5,2
63,54,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1
64,58,B01N6JG35L,4.7,22,0,0,0,2.85,5,1
65,53,B06XX7QQK7,4.7,31,4,1,0,11.9,40,1
66,50,B00180DS7I,4.2,238,13,4,0,15.99,24,12
67,46,B01BUP4T6Y,4.7,761,33,0,0,13.25,5,1
68,41,B00LIBEDC6,4.5,377,12,2,3,11.95,46,1
69,55,B014527Y0W,4.0,333,19,25,2,9.95,71,1
70,48,B01EXBUFII,4.3,712,45,13,0,19.99,0,1
71,47,B00HMSU4ZE,4.5,336,8,1,0,16.33,0,13
72,60,B01LYFI1ST,4.8,492,14,10,0,24.99,38,1
73,43,B01DDW9RO6,4.7,6,20,0,1,11.59,0,4
74,51,B00FA53Q8S,3.8,517,23,5,0,8.88,31,1
75,45,B00BBD508C,4.8,1202,81,56,0,27.55,5,1
76,56,B005AYJ6EW,3.8,594,12,20,0,5.99,0,1
77,57,B01BMT8XDI,4.3,152,7,1,0,12.36,0,1
78,59,B01LQ77K76,4.4,150,14,1,0,11.99,0,1
79,52,B01LK643T6,4.5,479,41,0,0,12.95,41,4
80,97,B019DKVCOU,4.3,107,0,0,0,4.82,0,1
81,86,B01MYA4Q1X,4.4,201,10,0,0,14.5,58,1
82,92,B071P2RHG2,4.7,4,0,0,0,10.99,45,1
83,85,B01B8P253K,4.3,67,3,0,0,7.99,20,1
84,84,B00AMO22SM,4.8,525,19,5,0,26.99,10,1
85,90,B00H3MATM2,3.8,705,18,7,0,8.88,56,1
86,94,B01J5GC24Q,5.0,3,0,0,0,7.49,0,3
87,93,B001MX89Y8,4.3,667,7,4,2,7.99,0,25
88,99,B01NCHUD0M,4.1,81,4,0,0,11.88,60,1
89,88,B01DMQ7VBO,4.7,120,0,0,0,16.65,0,19
90,83,B000F54AN8,3.7,3632,207,128,0,21.38,0,14
91,100,B0170AFF8O,4.4,96,9,0,0,7.99,20,1
92,95,B01N8ZYDWC,4.4,193,8,1,1,13.99,0,2
93,89,B06WWJJHM9,4.4,28,0,0,0,7.99,29,1
94,81,B0011DJICG,4.2,415,8,0,0,17.03,5,37
95,96,B008MOK95W,4.7,7360,362,148,0,12.0,0,11
96,98,B01MYMKZPC,4.0,56,0,0,0,6.76,0,1
97,82,B072F6F82W,3.3,101,0,0,0,0.0,0,1
98,91,B00JB8VN4E,4.0,289,10,0,3,12.65,24,3
99,87,B01D9O1GA6,4.5,22,0,0,0,19.99,0,3
