,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,3,B01161IL20,4.4,3561,128,30,0,16.95,15,5
1,5,B014SF6MBI,4.2,7434,552,36,0,13.95,53,1
2,20,B00PHVXIQA,4.3,2602,49,12,0,9.99,50,1
3,19,B0128HRZOG,4.5,1449,67,28,0,19.95,0,1
4,7,B005IHJ556,4.5,5769,162,105,0,12.65,0,1
5,12,B01J15VL8O,4.0,830,65,9,0,14.24,5,1
6,13,B00QJCFWSI,4.5,1463,37,4,0,6.99,50,1
7,6,B01KK90ZH8,4.3,1017,72,5,0,27.95,53,1
8,11,B01CXPSS30,4.2,587,28,3,0,0.0,0,1
9,14,B06Y2CLF3T,4.8,53,3,1,0,7.99,60,1
10,10,B06WW955KY,4.0,830,65,9,0,23.99,60,1
11,16,B0118QC1BA,4.6,6286,414,79,0,25.99,57,1
12,15,B00QVNKSA2,4.6,2855,112,9,0,12.95,47,1
13,9,B01N4DB4A4,4.6,335,20,0,0,12.95,19,3
14,8,B00OEIBJRW,4.4,2827,37,31,0,9.99,50,1
15,17,B0009OAHC8,4.3,1926,47,4,0,19.94,0,20
16,18,B00NPC7EEU,4.7,4130,55,22,0,10.77,63,1
17,4,B00TSTZQEY,4.3,4843,128,101,0,14.95,57,1
18,2,B00V9JP8EE,4.3,9115,600,115,0,13.95,65,1
19,1,B0163GBZK8,4.4,9098,202,33,0,14.95,81,1
20,35,B01N20H4ZQ,4.7,803,26,2,1,25.99,68,1
21,24,B00QXVNSE0,4.5,2958,52,12,0,8.99,55,1
22,29,B001FWXHC0,4.4,563,15,3,0,15.99,76,56
23,22,B01HULIXKU,4.5,1194,131,14,0,0.0,0,1
24,40,B011JBP5DK,4.4,1375,69,37,0,11.97,37,1
25,31,B00QR6SS6O,4.3,1663,45,17,0,13.95,53,1
26,25,B005MQ2BQI,4.7,1618,44,12,0,33.0,0,27
27,36,B00PYS7R7M,4.5,1412,25,5,0,6.99,65,1
28,38,B00VXHY6KY,4.4,1227,47,28,0,13.95,53,1
29,21,B01M1A5RRT,4.4,666,42,29,0,26.9,0,4
30,34,B0118Q011M,4.5,2495,185,26,0,0.0,0,1
31,23,B0019LRZ2A,4.4,2979,109,26,0,9.71,0,14
32,33,B014G8IYRM,4.3,2116,45,23,0,28.5,0,1
33,28,B00Y2BGFIO,4.5,3588,158,14,0,0.0,0,1
34,26,B000E7UFM2,4.3,801,22,3,4,12.69,0,30
35,39,B06Y245185,4.5,18,0,0,0,7.99,60,1
36,27,B004O25R8A,4.5,937,28,5,1,23.73,0,9
37,30,B00SA5UWW8,4.5,4351,98,20,0,19.99,51,3
38,32,B01KJAJLN2,4.5,261,11,8,0,12.59,40,1
39,37,B000XE5260,4.4,1945,61,16,0,35.8,0,71
40,54,B01JRD7Y9U,4.4,769,21,11,0,11.95,76,1
41,57,B00UNXFD6A,4.7,795,27,2,0,9.99,50,1
42,50,B002XQ1X4G,4.5,2052,84,15,0,49.99,0,36
43,47,B00P6O790E,4.6,774,14,2,0,5.99,70,1
