,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
0,6,B00120VWJ0,4.7,7317,357,146,0,15.99,11,18,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1,13,B004N79BYC,4.8,323,11,1,0,12.99,0,1,1,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2,8,B000HK1OOY,4.7,7317,357,146,0,14.39,11,26,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
3,18,B00A6FAXOM,4.3,603,14,11,0,10.5,0,22,1,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
4,12,B00LIBEBTG,4.6,777,23,4,0,9.98,47,1,1,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
5,7,B00HNTPF7E,4.8,2067,69,12,0,19.99,0,1,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
6,3,B00PV15BPW,4.5,2600,82,38,0,13.95,53,1,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7,10,B01LX9IIDJ,4.2,623,31,11,0,14.95,32,1,1,0,0,0,0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,17,B01EXBUFII,4.3,696,45,13,0,19.99,0,1,1,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
9,16,B018MU5FN6,4.7,3892,55,25,0,21.99,55,1,1,0,0,0,0,0,0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
10,19,B01MFGN8S5,4.9,661,17,4,1,26.8,0,1,1,0,0,0,0,0,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
11,5,B00QPNVC0I,4.4,1505,39,7,0,8.78,5,15,1,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
12,15,B00B7QEBHE,4.7,267,8,1,0,8.99,0,1,1,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
13,11,B01F88BMC8,4.3,285,5,5,0,8.49,65,1,1,0,0,0,0,0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
