,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,5,B01161IL20,4.4,3481,124,30,0,16.94,44,6
1,16,B016WEO4MM,4.5,1986,235,62,0,25.99,68,1
2,7,B00OEIBJRW,4.4,2768,36,31,0,9.99,50,1
3,20,B00PHVXIQA,4.3,2575,49,10,0,9.99,50,1
4,3,B01HULIXKU,4.5,1173,130,14,0,29.99,40,1
5,10,B005IHJ556,4.5,5751,162,104,0,12.95,0,1
6,9,B001U582SQ,4.3,281,14,1,1,49.99,41,1
7,19,B0128HRZOG,4.5,1438,66,27,0,21.99,0,1
8,8,B00QJCFWSI,4.5,1443,37,3,0,6.99,50,1
9,6,B01KK90ZH8,4.3,982,68,4,0,27.95,53,1
10,14,B01CXPSS30,4.2,546,28,3,0,14.95,50,1
11,11,B01KFU4IL6,4.3,731,46,4,0,10.95,42,1
12,17,B0118QC1BA,4.6,6199,411,79,0,25.99,57,1
13,18,B0019LRZ2A,4.4,2964,109,26,0,9.9,0,16
14,15,B00QVNKSA2,4.6,2839,110,9,0,12.95,47,1
15,12,B014SF6MBI,4.2,7370,551,36,0,15.95,47,1
16,13,B0009OAHC8,4.3,1917,47,4,0,19.79,12,22
17,4,B00TSTZQEY,4.3,4823,128,100,0,14.95,57,1
18,2,B00V9JP8EE,4.3,9027,595,111,0,15.95,77,1
19,1,B0163GBZK8,4.4,9036,201,33,0,14.95,81,1
20,22,B005MQ2BQI,4.7,1601,44,12,0,33.05,0,22
21,30,B000WZR1R8,4.5,353,7,5,10,48.99,33,1
22,33,B002XQ1X4G,4.5,2040,84,15,0,49.99,0,37
23,31,B00B4TR3KG,4.5,1028,61,13,0,41.94,0,112
24,25,B00QR6SS6O,4.3,1654,43,17,0,13.95,53,1
25,23,B00QXVNSE0,4.5,2927,52,12,0,8.99,55,1
26,37,B00VS18XEK,4.4,821,67,12,0,15.5,0,11
27,40,B01B6Q34LS,4.2,355,44,8,0,12.99,0,1
