,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,43,B014Q9656I,4.4,819,22,14,0,28.5,0,1
1,51,B005OWBCE2,4.3,129,6,0,0,19.99,0,24
2,57,B00JVZGO3W,4.5,175,16,4,2,7.75,0,6
3,58,B01ESRUYB0,4.4,225,11,1425,0,13.93,76,1
4,46,B00UGHNIWO,4.3,1463,46,106,0,24.95,58,1
5,42,B00S0SD45M,4.5,111,0,0,0,6.99,0,1
6,52,B01M1CYBGQ,4.6,480,18,2,1,12.34,5,1
7,49,B00C932DU6,4.4,122,9,1,0,15.95,60,1
8,53,B008B9Y0EY,4.6,1809,109,77,0,9.85,30,1
9,44,B01LXC2QYT,4.6,109,4,0,0,10.95,0,2
10,47,B015XPC59K,4.3,44,9,1,0,35.31,18,25
11,54,B0039VOSPU,4.3,659,9,0,2,13.96,0,112
12,45,B01MA69E8X,4.6,68,10,3,1,15.94,60,1
13,56,B00HSE4WJ6,4.3,1370,79,3680,0,7.99,50,1
14,41,B004O24Q8W,4.3,811,38,10,0,51.99,0,1
15,60,B0002RI2PG,4.5,423,29,5,0,24.95,5,9
16,48,B00WF6VFSS,4.6,1388,36,9,0,19.97,50,1
17,55,B00I9L4BTI,4.4,1449,72,5,0,10.95,40,1
18,59,B000C1ZB3I,4.5,877,10,1,3,17.06,0,65
19,50,B009NPOXVK,4.5,261,4,3,0,41.14,0,1
20,15,B01H6EHVK4,4.6,747,36,13,0,8.95,0,65
21,9,B011JBP5DK,4.4,1375,69,37,0,11.97,37,1
22,18,B00M1E5F1W,3.3,2634,137,66,0,58.0,11,24
23,5,B00A6FAXOM,4.3,607,15,11,0,10.39,0,22
24,1,B00KOW827M,4.4,4302,97,22,0,8.99,75,2
25,20,B01CPUVTI4,4.3,126,15,0,0,2.95,58,1
26,16,B002I7N4B0,4.7,217,4,1,0,26.99,0,31
27,8,B00AVP37G8,4.1,1713,60,9,0,10.19,0,15
28,7,B01MFGN8S5,4.9,721,19,5,1,26.8,0,1
29,2,B004UH74DA,4.6,4532,123,30,0,10.38,5,24
30,19,B01BWF602S,4.3,458,21,1,0,12.99,57,1
31,10,B014G8IYRM,4.3,2116,45,23,0,28.5,0,1
32,17,B007MJKHPA,4.0,880,56,1,0,3.74,0,35
