,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,15,B0000536EY,4.5,660,19,5,0,3.76,5,59
1,12,B000FYVOJC,4.3,3647,79,20,0,14.99,0,98
2,2,B01K1HPA60,4.5,658,112,19,0,17.95,14,15
3,16,B01G98Y1BA,4.9,1227,46,2,0,10.78,0,2
4,13,B009NNFB0O,4.4,4999,229,356,0,12.23,5,1
5,11,B014SG66UO,4.4,822,94,19,0,53.99,10,23
6,1,B00I6A69TM,4.8,2769,22,42,6,2.98,0,1
7,4,B003FBI9LS,4.1,3425,170,25,0,19.9,29,51
8,19,B00H2B4H2M,4.1,2215,212,77,0,19.4,0,16
9,9,B0039LMTHE,4.5,2689,48,23,0,28.47,5,6
10,6,B0049LUI9O,4.1,11279,159,121,0,11.99,40,1
11,7,B06VXND7JF,4.6,732,35,5,0,18.88,5,7
12,8,B0046VGPHQ,4.4,5269,408,82,0,13.25,0,34
13,20,B014HNOXZS,4.2,639,19,0,11,5.78,5,24
14,18,B01D328BG6,4.2,1942,196,28,0,31.48,10,1
15,17,B019SVHLEY,4.2,1728,96,214,0,7.96,60,3
16,14,B01MZBI2AP,4.7,132,42,132,0,9.99,47,1
17,5,B071KW9GTT,5.0,8,0,0,0,19.99,0,1
18,10,B00ARF42H0,4.3,6215,392,295,0,18.39,8,10
19,3,B00JITDVD2,4.2,1759,187,34,0,0.0,0,1
20,27,B00I3VHKVK,4.3,7109,149,66,0,9.99,75,2
21,35,B00LE99PA2,4.3,8689,219,217,0,29.2,35,16
22,28,B00GZG4KSG,4.3,508,35,4,0,16.19,46,7
23,36,B003983I1S,4.5,3133,44,33,0,28.47,5,1
24,30,B003YJAZZ4,4.4,6427,602,237,0,154.32,47,40
25,32,B01AAQD2NU,4.4,2299,87,28,0,29.99,57,15
26,31,B0013MTHWQ,4.5,842,26,24,16,17.76,5,15
27,34,B01N995M70,4.2,123,7,1,0,12.99,13,14
28,26,B003S516XO,4.4,4084,227,34,0,19.96,0,16
29,24,B001VEK1HQ,4.4,2410,122,36,0,37.99,5,19
30,22,B000068PBT,4.5,5447,317,54,0,29.0,0,51
31,29,B000VDEQBK,4.5,165,4,1,0,5.42,0,1
32,33,B013SJMB10,4.3,1458,38,6,0,6.99,65,3
33,40,B01N2VNJXC,4.4,1590,51,4,0,49.99,58,1
34,25,B004B8AZH0,4.5,3948,55,44,0,33.97,29,1
35,21,B0018A32XS,4.2,5866,317,85,0,17.99,28,1
36,38,B0050QJHTO,4.3,6433,333,92,0,24.97,0,8
37,37,B00R6P72JO,4.8,7880,91,44,0,7.79,0,8
38,23,B01LA91S28,4.5,476,8,3,0,11.36,5,8
39,39,B01EWBYUDU,4.2,1664,37,34,0,7.99,73,2
40,41,B000NJG82W,4.2,1682,40,14,0,3.4,77,25
41,43,B01JLVS726,4.4,452,42,8,0,11.65,0,18
42,53,B00LMIVLXY,4.3,2723,98,29,0,14.2,5,1
43,57,B003KWVOD2,4.5,4610,87,15,0,15.64,13,10
44,50,B001ECQ7G4,4.4,2847,108,7,0,21.99,0,17
45,45,B016LI8E4S,4.6,6517,22,18,8,9.97,34,1
46,42,B00E4PMQAO,4.5,5200,80,53,0,17.95,22,2
47,46,B0019LWU2K,4.7,1369,86,47,0,5.57,38,41
48,60,B00J4YYFYA,4.8,123,1,1,0,4.99,0,1
49,54,B00V75EUWQ,4.1,769,27,5,0,8.99,47,3
50,59,B01BNN8B76,2.7,417,31,13,1,13.75,0,3
51,55,B008O47ILI,4.5,238,13,14,0,2.99,0,35
52,47,B00WO69JOQ,4.3,708,29,17,0,8.99,55,1
53,52,B00JA1AHRG,4.4,162,7,0,0,4.95,0,14
54,44,B01859QHAY,4.3,751,83,37,0,39.95,20,13
55,56,B00182ERG2,3.8,99,0,0,0,5.22,5,8
56,58,B00NCAW1JI,4.1,677,79,17,0,19.49,50,1
57,49,B00QPNVC0I,4.4,1505,39,7,0,8.78,5,15
58,51,B000050FDY,4.6,732,35,5,0,11.82,16,24
