,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
258,47,B0182XCOGE,4.7,2441,64,14,0,10.71,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0
259,41,B002N5MI2S,4.5,1674,122,18,0,8.48,0,66,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0
260,79,B004887ZVM,4.1,366,60,5,0,6.98,0,33,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0
261,70,B006T8BXF8,3.9,716,15,17,0,3.74,5,15,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,66.0
262,68,B003JKFEL8,4.5,1073,23,5,4,14.35,52,20,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,71.0
263,76,B00132ZG3U,4.2,2102,162,41,0,23.21,16,16,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,77.0
264,65,B007SZCG0C,4.3,4107,149,53,0,47.45,5,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0
265,67,B0007506U2,4.5,1264,57,15,0,7.69,0,108,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0
266,75,B001BAN0FK,4.2,887,42,5,0,5.86,0,17,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,81.0
267,63,B0045OR410,4.2,1199,71,15,0,53.0,0,16,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0
268,80,B000H88PCU,3.7,865,44,15,0,3.99,0,16,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,82.0
269,64,B00390DN34,4.2,1641,48,4,0,9.03,5,37,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0
270,71,B002N5MIF0,4.6,1148,34,7,0,18.82,0,71,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,67.0
271,78,B001LQY1X4,4.3,1363,52,10,0,12.99,24,36,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0
272,72,B01MS3D9VU,4.3,45,6,3,0,0.0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,69.0
273,66,B000MIKEZQ,4.2,600,35,12,0,20.9,5,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,72.0
274,74,B00L4FQVB2,4.3,3520,169,71,0,9.45,5,5,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.0
275,69,B0012DL8B4,4.3,610,44,2,0,12.97,26,41,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,74.0
276,61,B01N0993NM,4.4,106,49,9,0,26.02,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,62.0
277,62,B002RGRJC2,4.0,867,25,7,4,38.9,19,28,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,59.0
278,73,B000V8MTIC,3.9,1459,278,31,0,11.99,0,34,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0
279,77,B005IHT8KI,4.6,1290,49,7,0,4.59,5,64,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,78.0
280,86,B0038TVH3Y,4.4,1150,102,24,0,10.12,15,41,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0
281,99,B000MD65FO,4.4,735,39,10,0,38.64,0,34,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0
282,92,B000O7JK0A,4.5,979,47,5,0,9.46,0,37,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,92.0
283,81,B006K26D9E,4.3,582,38,21,0,17.19,0,65,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.0
284,90,B00KVYBY8M,4.6,2588,83,13,0,15.97,60,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0
285,83,B000XTFP0I,4.5,773,20,12,1,23.5,0,40,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,87.0
286,93,B00HRADSJ6,4.5,539,32,2,0,19.5,19,10,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0
287,82,B00TB00HPS,4.2,474,12,0,1,8.54,5,18,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,79.0
288,100,B016V5H6MM,4.0,794,59,2,0,11.33,5,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,99.0
289,87,B0006ZTEQK,4.5,1221,103,6,0,14.88,0,46,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,88.0
290,97,B000TGC8D2,4.3,260,15,3,3,6.06,5,25,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,96.0
