,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
0,7,B004N79BYC,4.8,329,13,1,0,12.99,0,1,1,0,0,0,0,0,0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1,11,B00120VWJ0,4.7,7369,362,148,0,15.99,11,18,1,0,0,0,0,0,0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2,13,B00MOL4AIQ,4.8,3826,86,22,0,19.95,64,1,1,0,0,0,0,0,0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
3,14,B000HK1OOY,4.7,7369,362,148,0,15.99,0,33,1,0,0,0,0,0,0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
4,20,B00KFR73NU,4.4,1054,25,7,0,6.95,0,4,1,0,0,0,0,0,0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
5,9,B00A6FAXOM,4.3,609,16,11,0,10.5,0,20,1,0,0,0,0,0,0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
6,5,B00HNTPF7E,4.8,2082,71,12,0,19.99,0,1,1,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
7,4,B00PV15BPW,4.5,2628,85,40,0,13.95,53,1,1,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,8,B01LX9IIDJ,4.2,650,35,12,0,14.95,32,1,1,0,0,0,0,0,0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9,16,B01MFGN8S5,4.9,733,19,5,1,26.8,0,1,1,0,0,0,0,0,0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
10,3,B00QPNVC0I,4.4,1526,39,7,0,8.78,5,15,1,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11,15,B00B1M0XCG,4.3,1533,65,24,0,9.57,0,4,1,0,0,0,0,0,0,14.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
12,10,B01F88BMC8,4.3,292,6,6,0,8.49,65,1,1,0,0,0,0,0,0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
13,2,B0046VGPHQ,4.4,5348,415,83,0,13.1,0,37,1,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14,1,B01N3BW11X,4.3,562,28,8,0,14.95,60,1,1,0,0,0,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,17,B001CTQMIC,4.3,910,14,4,5,8.49,35,1,1,0,0,0,0,0,0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
16,18,B007IAE5WY,4.7,1006,36,9,0,11.4,0,17,1,0,0,0,0,0,0,0.0,24.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
17,12,B00GJ1UK3G,4.0,1125,48,11,0,9.99,0,2,1,0,0,0,0,0,0,0.0,31.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
18,6,B00LIBEBTG,4.6,788,24,4,0,9.98,47,1,1,0,0,0,0,0,0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
19,19,B001MIZMP2,4.5,1993,52,13,0,10.47,42,19,1,0,0,0,0,0,0,0.0,4.0,10.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,19.0
20,22,B018MU5FN6,4.7,3925,56,24,0,21.99,55,1,1,0,0,0,0,0,0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
21,23,B00V6WZ7WW,4.3,646,20,10,0,4.97,17,15,1,0,0,0,0,0,0,0.0,2.0,26.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0
22,30,B00ZMXCN1O,4.7,1385,45,20,0,19.95,60,1,1,0,0,0,0,0,0,0.0,0.0,25.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0
23,28,B00YE3CPW0,4.6,1265,23,4,0,14.99,63,1,1,0,0,0,0,0,0,0.0,0.0,23.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0
24,25,B00ZRWMCXY,3.9,1644,51,25,0,13.99,53,1,1,0,0,0,0,0,0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
25,36,B008RDEI0A,4.6,337,10,1,0,30.95,0,7,1,0,0,0,0,0,0,0.0,0.0,2.0,29.0,2.0,2.0,0.0,3.0,1.0,1.0,36.0
26,35,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1,1,0,0,0,0,0,0,0.0,0.0,1.0,7.0,7.0,17.0,5.0,2.0,0.0,0.0,35.0
27,24,B004N7DQHA,4.9,2420,65,76,0,32.99,6,1,1,0,0,0,0,0,0,10.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
28,38,B0016ISD04,4.2,738,21,27,5,5.56,57,11,1,0,0,0,0,0,0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,38.0
29,37,B01DDW9RO6,4.7,6,21,0,0,11.27,0,4,1,0,0,0,0,0,0,0.0,0.0,1.0,14.0,9.0,3.0,0.0,0.0,0.0,0.0,37.0
30,33,B01BUP4T6Y,4.7,762,33,0,0,13.25,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,15.0,23.0,2.0,0.0,0.0,0.0,0.0,33.0
31,34,B01AJQ6LRK,3.8,271,7,0,0,3.49,30,1,1,0,0,0,0,0,0,0.0,0.0,0.0,28.0,9.0,3.0,0.0,0.0,0.0,0.0,34.0
32,26,B071YTN8PQ,4.5,58,9,3,3,24.94,0,1,1,0,0,0,0,0,0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
33,29,B00B7QEBHE,4.7,273,9,1,0,8.99,0,1,1,0,0,0,0,0,0,0.0,9.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
34,40,B01EXBUFII,4.3,716,45,13,0,19.99,0,1,1,0,0,0,0,0,0,0.0,9.0,2.0,16.0,12.0,1.0,0.0,0.0,0.0,0.0,40.0
35,31,B071JCHR7S,4.9,2420,65,76,0,28.99,0,1,1,0,0,0,0,0,0,0.0,0.0,2.0,23.0,3.0,2.0,0.0,0.0,0.0,0.0,31.0
36,32,B00KVOR9VI,4.4,1478,16,9,2,13.75,45,3,1,0,0,0,0,0,0,0.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
37,21,B00EP5S7HE,4.4,987,93,5,0,14.7,51,26,1,0,0,0,0,0,0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
38,39,B007THNPBS,4.4,164,0,0,0,4.87,19,32,1,0,0,0,0,0,0,0.0,0.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,39.0
39,27,B0158S5BIY,4.6,579,13,6,0,17.77,53,1,1,0,0,0,0,0,0,0.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
40,44,B005IYYF5E,4.2,313,5,1,1,3.99,0,7,1,0,0,0,0,0,0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,44.0
41,50,B00VTHCARY,4.6,133,4,1,0,5.59,5,7,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,9.0,13.0,5.0,1.0,4.0,50.0
42,60,B014QVV9UI,5.0,10,0,0,0,4.97,23,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,20.0,6.0,0.0,60.0
43,45,B01A09JXNK,4.2,1085,35,6,0,10.99,27,1,1,0,0,0,0,0,0,0.0,0.0,2.0,10.0,20.0,7.0,1.0,0.0,0.0,0.0,45.0
44,52,B07289VCXR,4.0,418,13,2,0,12.34,5,2,1,0,0,0,0,0,0,0.0,0.0,1.0,5.0,13.0,10.0,4.0,4.0,1.0,2.0,52.0
45,51,B016YWFDWW,4.6,198,6,0,0,9.99,41,1,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,6.0,9.0,14.0,5.0,1.0,51.0
46,56,B00BOUQTJG,4.3,90,9,9,0,5.68,5,10,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,3.0,15.0,15.0,5.0,0.0,0.0,56.0
47,49,B017DX9CRI,4.3,877,32,75,0,12.28,5,3,1,0,0,0,0,0,0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,49.0
48,46,B01N6JG35L,4.7,22,0,0,0,2.85,5,1,1,0,0,0,0,0,0,0.0,0.0,7.0,3.0,9.0,16.0,5.0,0.0,0.0,0.0,46.0
49,53,B01L5DBDXS,4.9,46,7,4,1,19.95,60,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,13.0,9.0,0.0,0.0,0.0,53.0
50,41,B004N7FE8Y,4.8,290,7,3,0,19.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,13.0,16.0,4.0,4.0,2.0,1.0,0.0,41.0
51,59,B071XP2F8C,4.7,4,0,0,0,14.95,50,1,1,0,0,0,0,0,0,0.0,4.0,4.0,8.0,4.0,9.0,0.0,0.0,0.0,0.0,59.0
52,48,B00LIBEDC6,4.5,378,12,2,3,11.95,46,1,1,0,0,0,0,0,0,0.0,0.0,0.0,6.0,22.0,11.0,1.0,0.0,0.0,0.0,48.0
53,58,B00FA53Q8S,3.8,520,23,5,0,8.88,31,1,1,0,0,0,0,0,0,0.0,0.0,7.0,3.0,11.0,17.0,2.0,0.0,0.0,0.0,58.0
54,42,B00HMSU4ZE,4.5,337,8,1,0,16.33,0,13,1,0,0,0,0,0,0,0.0,0.0,1.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,42.0
55,57,B00180DS7I,4.2,239,13,4,0,15.99,24,12,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,17.0,22.0,0.0,0.0,0.0,0.0,57.0
56,43,B0011DJICG,4.2,415,8,0,0,17.03,5,34,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,9.0,7.0,8.0,11.0,2.0,1.0,43.0
57,47,B00BBD508C,4.8,1204,81,56,0,27.55,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,30.0,7.0,1.0,0.0,0.0,0.0,47.0
58,54,B005AYJ6EW,3.8,594,12,20,0,5.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,26.0,2.0,2.0,2.0,2.0,54.0
