,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,33,B003HBDK24,3.7,160,0,0,0,28.19,0,22
1,31,B014Q9656I,4.4,823,22,14,0,28.5,0,1
2,22,B016YWFDWW,4.6,198,6,0,0,9.99,41,1
3,29,B014527Y0W,4.0,334,19,25,2,10.95,68,1
4,21,B01BC02L6M,3.4,6,0,0,0,2.49,0,1
5,28,B00K0RW4Q6,4.4,131,10,1,0,6.95,0,19
6,25,B004O276P2,4.7,821,34,10,0,36.16,0,14
7,39,B01M19EROK,4.1,210,17,0,0,2.5,0,2
8,24,B01CPUVTI4,4.3,126,15,0,0,2.95,58,1
9,36,B000VSG1PO,4.1,1101,40,4,0,18.85,0,1
10,37,B002RSCP9W,4.6,1459,57,15,0,9.95,58,1
11,23,B01BWF602S,4.2,467,21,1,0,12.99,57,1
12,35,B014Q8YMCI,4.4,999,22,7,1,28.5,0,1
13,27,B002N0U37A,4.3,1199,122,20,0,29.99,0,1
14,38,B00JVZGO3W,4.5,177,16,4,2,7.75,0,5
15,40,B00T2VV6O2,4.6,1240,77,22,0,37.94,12,34
16,26,B00Y1CS2XK,4.5,893,47,6,0,12.95,74,1
17,32,B003B8G5IY,4.3,1181,18,1,0,21.36,5,60
18,34,B01GOXB47Y,4.6,377,9,1,0,12.34,5,1
19,30,B071XWZ2MG,4.9,81,7,0,0,25.99,26,1
20,14,B01H6EHVK4,4.6,747,37,13,0,8.95,0,63
21,17,B011JBP5DK,4.4,1378,69,37,0,11.97,37,1
22,16,B00M1E5F1W,3.3,2637,137,66,0,58.0,11,25
23,5,B00A6FAXOM,4.3,609,16,11,0,10.5,0,22
24,2,B00KOW827M,4.4,4302,97,22,0,8.99,75,2
25,18,B007MJKHPA,4.0,884,56,1,0,3.74,0,35
26,8,B00AVP37G8,4.1,1715,60,9,0,10.19,0,14
27,7,B01MFGN8S5,4.9,730,19,5,1,26.8,0,1
28,1,B004UH74DA,4.6,4544,123,30,0,10.38,5,23
29,19,B002I7N4B0,4.7,218,4,1,0,26.99,0,30
30,20,B016UMZFQU,4.1,422,34,0,0,12.99,0,1
31,13,B015XI6NZO,4.6,649,26,8,0,12.99,74,2
32,9,B014G8IYRM,4.3,2119,45,23,0,28.5,0,1
33,3,B00JA1AHRG,4.3,176,8,0,0,4.93,0,17
34,11,B007HJ9VFM,3.7,1251,44,2,0,7.34,57,16
35,10,B00HSE4WJG,4.4,3981,115,867,0,8.29,59,3
36,6,B00MOL4AIQ,4.8,3825,86,22,0,19.95,64,1
37,4,B00LNGP8GQ,4.3,510,24,4,2,14.1,12,25
38,15,B017B9SSOW,4.4,984,27,31,0,8.99,78,2
39,12,B00C9358NU,4.4,848,33,11,0,15.95,60,1
40,53,B004O24Q8W,4.3,811,38,10,0,51.99,0,1
41,45,B00021C49W,4.4,374,12,1,0,20.29,8,18
42,49,B01DV4YQLU,4.7,279,11,0,0,8.95,31,3
43,47,B00R9CH514,4.3,168,12,0,0,15.94,60,1
44,46,B00CAF7RMW,4.4,287,25,1,0,15.95,60,1
45,43,B00S0SD45M,4.5,111,0,0,0,4.49,0,2
46,52,B00HSE4WJ6,4.3,1376,79,3680,0,7.99,50,1
47,50,B00C932DU6,4.4,124,9,1,0,15.95,60,1
48,56,B01LXC2QYT,4.6,111,4,0,0,10.95,0,2
49,60,B0002RI2PG,4.5,426,29,5,0,24.95,5,5
50,59,B000XED3JS,4.2,168,0,0,0,30.0,0,36
51,48,B016NCLKJI,4.6,297,16,2,1,10.0,0,1
52,41,B001FVTWWU,4.3,460,17,4,0,5.98,36,1
53,51,B00UGHNIWO,4.3,1464,46,106,0,24.95,58,1
54,42,B00WF6VFSS,4.6,1388,36,9,0,19.97,50,1
55,57,B004EDWMBO,4.6,745,7,18,1,9.88,0,28
56,54,B01MA69E8X,4.5,69,11,3,1,15.94,60,1
57,58,B00I9L4BTI,4.4,1450,72,5,0,10.95,40,1
58,55,B01ACQFLAU,4.6,1319,23,10,1,12.87,0,1
59,44,B006OHM542,4.2,343,17,0,0,5.29,0,4
60,82,B007TNHQOY,4.3,4875,163,6,0,49.9,0,1
61,87,B00187PWDY,4.3,299,4,0,0,6.1,39,20
62,97,B003BLBLVC,4.5,403,12,3,3,28.49,0,34
63,94,B01LONJ2RS,4.5,85,3,1,0,13.95,53,1
64,95,B001LNWX1O,4.2,408,8,2,0,6.79,0,1
65,98,B004XZOJCI,3.7,78,10,3,0,5.99,0,7
66,100,B018YOVQSI,4.8,256,15,0,1,10.0,0,1
67,85,B01MT6H91G,4.2,192,23,3,0,49.99,29,1
68,81,B000CNO4FW,4.5,508,9,0,2,31.74,0,22
69,91,B000C1ZB3I,4.5,878,10,1,3,17.06,0,66
70,89,B0009WB49K,4.5,212,7,0,0,19.86,5,26
71,83,B00NBX451I,4.3,311,39,22,0,8.99,70,4
72,86,B01A9JE6QU,4.6,756,83,7,0,24.97,0,2
73,99,B0009OAHRI,4.5,562,5,7,0,15.42,9,33
74,90,B001D5599I,4.5,685,15,4,0,23.99,0,40
75,88,B00SHZ768O,4.7,295,14,1,3,11.99,40,1
76,96,B00BYD3OXC,4.4,228,16,0,1,2.95,58,1
77,84,B00631YZS8,4.2,968,51,0,0,12.99,0,23
78,93,B016RB9YXE,3.0,40,4,0,0,6.15,0,1
79,92,B017JCBVAY,4.2,169,18,2,0,15.95,60,1
80,67,B01ESRUYB0,4.4,226,11,1425,0,13.93,76,1
81,64,B005OWBCE2,4.3,129,6,0,0,19.99,0,25
82,76,B00D5YHZRE,4.7,5169,224,37,0,18.49,0,9
83,77,B00NQGWFCQ,4.4,823,48,7,0,16.14,5,1
84,71,B00VL1FY9Y,3.9,91,10,1,0,7.29,0,7
85,78,B016LGL5B4,3.9,547,25,8,0,10.38,5,3
86,80,B000GZPHES,4.1,256,6,0,0,14.84,5,8
87,63,B01M1CYBGQ,4.6,480,18,2,1,12.34,5,1
