,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,81,B0000YUXI0,4.3,5647,113,30,0,14.95,0,7
1,84,B004DOYM2Q,4.5,406,18,3,0,33.2,5,1
2,88,B01FLO5914,4.3,1511,78,21,0,18.95,5,1
3,86,B0722KS8WV,5.0,3,0,0,0,17.99,31,1
4,97,B00D9NV2D4,4.7,6232,243,56,0,15.25,0,1
5,87,B000UVZU1S,4.4,4420,161,32,0,5.22,5,39
6,95,B0147LDPRM,4.2,1701,76,21,0,10.41,5,5
7,96,B003UF0RB4,4.4,882,29,3,0,14.24,5,48
8,89,B000AU15E0,4.7,640,56,4,0,18.99,14,15
9,94,B0017SWIU4,4.2,1647,55,13,0,17.0,0,1
10,92,B00GTC1HG4,4.5,2184,97,27,0,3.45,5,31
11,85,B00PBX3TN6,4.1,800,12,3,1,4.63,5,43
12,100,B011QHFB4A,4.8,1035,38,13,0,11.99,5,1
13,91,B002JPJ2ZS,3.8,2983,186,65,0,0.0,0,1
14,83,B00AREGVUM,4.3,4558,347,81,0,16.99,39,1
15,93,B003TQU1Q0,4.5,1264,38,3,0,13.67,5,28
16,82,B00YPBPO0Q,4.6,210,7,2,0,8.47,0,1
17,98,B00172O9NO,4.5,2204,85,8,0,14.0,0,1
18,99,B000ODNSR0,4.7,504,14,2,3,6.64,5,32
19,90,B0009EILKS,4.0,1343,16,6,3,7.49,17,2
20,1,B0014P8L9W,4.5,13077,1000,263,0,9.45,0,57
21,13,B00MWI2IS0,4.3,4796,222,31,0,10.1,0,71
22,5,B00SK71SAG,4.6,3554,60,39,0,8.05,5,9
23,10,B01K2UMMI0,4.3,4465,164,60,0,23.95,56,1
24,18,B006IB5T4W,4.7,1982,61,8,0,12.1,5,48
25,15,B001459IEE,4.6,1420,56,7,0,8.52,5,33
26,12,B01M4MCUAF,4.5,5682,475,106,0,19.99,50,1
27,7,B00HYV2F7E,4.2,791,23,16,0,13.91,5,1
28,9,B004UH74DA,4.6,4544,123,30,0,10.38,5,23
29,4,B0020VJTDG,4.4,906,14,3,3,6.21,5,48
30,3,B004CDQ73K,4.4,1928,131,25,0,9.72,5,65
31,16,B0012J30LY,4.3,2884,192,29,0,16.93,5,9
32,2,B00016XJ4M,4.6,8167,314,107,0,10.46,48,44
33,20,B002MSN3QQ,4.4,2635,190,35,0,32.5,0,1
34,19,B004D2DR0Q,4.4,1919,138,21,0,10.68,5,19
35,11,B00MLBPDQ2,4.6,980,27,9,0,18.73,5,28
36,17,B00PCURCYA,4.4,856,14,35,1,6.62,5,14
37,14,B004AI97MA,4.3,4558,347,81,0,12.34,5,1
38,6,B001V9SXXU,4.6,4262,241,82,0,11.01,5,49
39,8,B0002QB9NE,4.5,5983,93,58,0,8.47,0,1
40,33,B002LC9OES,4.5,2204,85,8,0,7.0,0,1
41,36,B000YJ2SLG,4.7,2015,97,56,0,10.06,5,43
42,40,B01LTIQ0R8,3.4,7,0,0,0,11.99,0,1
43,23,B000S5S1DK,4.3,3753,64,52,0,3.29,0,1
44,25,B00461F4PA,3.9,6943,394,97,0,0.0,0,1
45,22,B00A7NUARS,4.3,1599,41,58,0,14.24,5,12
46,39,B00BAM7F8C,4.5,1979,93,40,0,8.6,0,18
47,24,B003YMJJSK,4.5,3484,160,90,0,8.16,5,50
48,37,B00H7KTEZ8,4.7,2644,58,24,0,13.16,5,1
49,27,B007SAC6XE,4.3,482,41,15,0,9.72,5,48
50,21,B00IOZWC2M,4.3,5783,216,20,0,14.2,5,5
51,28,B0046VGPHQ,4.4,5345,414,83,0,13.1,0,37
52,34,B019SVHLEY,4.2,1786,96,214,0,7.99,60,3
53,26,B00H33ZP3O,4.3,88,17,2,0,13.49,24,1
54,30,B005HO0AR2,4.6,4544,123,30,0,13.79,5,15
55,38,B00X6ZNWG0,3.5,923,38,11,0,33.2,5,1
56,32,B072C29XCN,3.8,397,0,0,0,15.99,0,1
57,35,B000NWGCZ2,4.6,2514,80,32,0,12.72,5,48
58,31,B01CNMASFY,4.2,661,21,224,0,8.95,75,1
59,29,B071X4VQ99,4.6,804,52,7,0,89.04,0,1
60,72,B00WRN3TBU,4.7,2086,124,15,0,15.95,36,1
61,71,B0169PFLFI,4.0,4092,218,440,0,14.2,5,5
62,62,B009D028GC,4.3,464,18,5,4,27.54,5,7
63,79,B00JJZN1HG,4.4,1928,131,25,0,19.94,17,34
64,78,B00HNTPF7E,4.8,2080,71,12,0,19.99,0,1
65,68,B00V9D7O1U,4.2,394,11,2,1,18.98,5,9
66,76,B007HD570Q,4.6,1870,103,13,0,8.27,5,55
67,69,B006RFZ66K,4.0,1920,36,43,0,11.99,14,3
68,70,B004X8JVT6,4.4,127,4,1,0,3.97,64,19
69,77,B00NR1YQK4,4.3,1674,121,43,0,14.24,5,20
70,74,B071FHQM3X,4.8,403,0,0,0,16.99,72,1
71,80,B01AAQD2NU,4.4,2321,87,28,0,29.99,57,17
72,75,B001ET76EY,4.4,1224,94,10,0,18.09,5,39
73,64,B01M0PB8DZ,4.1,400,42,10,0,11.39,5,15
74,61,B00B81XR1Y,4.2,278,8,1,1,14.24,5,11
75,65,B00HNSSV3U,4.6,382,28,12,0,8.99,12,1
76,73,B00G2TQNZ4,4.5,3408,159,53,0,15.95,56,1
77,63,B00SAT6GVK,4.5,2472,128,35,0,13.4,0,39
78,66,B010FHRA4G,4.5,1955,116,19,0,14.7,51,1
79,67,B00PO7GKLM,4.4,1386,99,98,0,21.95,54,1
80,49,B01MEG6C50,3.0,813,13,13,2,10.99,73,1
81,56,B0090UJFYI,4.3,4760,329,154,0,14.49,0,6
82,46,B007KA7V5U,4.2,199,7,3,0,7.57,5,26
83,60,B00H2B4H2M,4.1,2276,212,80,0,14.99,25,17
84,41,B00W659M3S,3.7,495,30,2,0,25.0,0,6
85,47,B00OMXW9HI,4.7,1540,19,3,4,10.34,5,13
86,45,B00DM14TYC,4.3,2607,56,16,0,11.69,0,1
87,43,B00LV6VDG2,4.5,2109,68,14,0,16.99,59,2
88,59,B00XTAFYKY,4.2,7281,665,100,0,28.99,27,1
89,52,B00365DABC,4.6,4262,241,82,0,7.88,5,37
90,48,B0054LHI5A,4.7,2958,68,22,0,9.49,5,26
91,57,B00B4YVU4G,4.2,2045,95,45,0,5.99,25,1
92,54,B01ES349CY,4.6,1145,117,9,0,18.99,37,1
93,44,B00LNOV8JO,4.3,4388,335,75,0,13.95,0,1
94,53,B005BGE1TE,4.4,241,20,1,0,4.55,5,21
95,51,B00K2RFAX8,4.6,1198,35,10,0,5.59,0,1
96,50,B01LZOA8F6,3.8,763,35,3,0,13.98,18,1
97,58,B00C5AHTC0,4.5,1100,18,10,0,6.57,5,15
98,55,B01GYBSLFO,4.4,410,61,8,0,10.97,5,1
99,42,B0000536Y7,4.4,4420,161,32,0,3.46,5,53
