,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,32,B06Y245185,4.8,17,0,0,0,7.99,60,1
1,26,B00QXVNSE0,4.5,2957,52,12,0,8.99,55,1
2,37,B00P6O9KDS,4.7,744,15,16,1,6.99,42,1
3,36,B01KFYCH9W,4.5,540,44,3,0,22.99,67,1
4,22,B005MQ2BQI,4.7,1615,44,12,0,32.2,0,26
5,33,B0118Q011M,4.5,2489,185,26,0,0.0,0,1
6,25,B01HULIXKU,4.5,1190,131,14,0,0.0,0,1
7,23,B00NPC7EEU,4.7,4130,55,22,0,10.77,63,1
8,39,B014G8IYRM,4.3,2110,45,23,0,28.5,0,1
9,38,B00PHQB8EE,4.4,284,13,1,0,7.49,50,1
10,28,B001FWXHC0,4.4,563,15,3,0,15.99,76,55
11,31,B000E7UFM2,4.3,799,22,3,4,12.69,0,29
12,29,B06WW955KY,4.0,826,65,9,0,23.99,60,1
13,21,B0009OAHC8,4.3,1926,47,4,0,19.94,0,19
14,35,B01LB17194,4.8,786,99,19,0,45.99,58,1
15,24,B00Y2BGFIO,4.5,3584,158,14,0,0.0,0,1
16,27,B01KJAJLN2,4.5,256,9,8,0,12.59,40,1
17,30,B00SA5UWW8,4.5,4347,98,20,0,19.99,51,3
18,40,B00C9358NU,4.4,848,33,11,0,15.95,60,1
19,34,B000XE5260,4.4,1943,61,16,0,35.8,0,71
20,48,B01N20H4ZQ,4.7,798,26,2,1,25.99,68,1
21,42,B00P6O790E,4.6,774,14,2,0,5.99,70,1
22,52,B01JRD7Y9U,4.4,768,21,11,0,11.95,76,1
23,41,B00PYS7R7M,4.5,1409,25,5,0,6.99,65,1
24,43,B00B4TR3KG,4.5,1039,61,14,0,41.94,0,99
25,45,B00VS18XEK,4.3,836,68,12,0,15.49,0,11
26,54,B001U582SQ,4.2,284,15,1,1,52.28,38,1
27,55,B071L6L14D,4.5,15,0,0,0,0.0,0,1
28,50,B00VXHY6KY,4.4,1227,47,28,0,13.95,53,1
29,53,B01MR4Y0CZ,4.8,432,80,70,0,29.99,63,1
30,46,B005O91CUE,4.3,534,11,0,1,17.49,0,1
31,47,B01KFU4IL6,4.3,738,48,4,0,10.95,42,2
32,56,B01GXOXYSG,4.7,93,10,0,0,14.22,5,1
33,59,B00R36LSZ0,4.7,899,33,10,0,13.84,31,16
34,58,B000C1Z3LS,4.6,777,15,4,2,31.49,0,61
